#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.003556,3,1,0,2471
0.001041,4,1,0,3160
0.107439,5,1,0,4055
0.431786,6,1,0,4667
0.572303,7,1,0,5393
0.630180,8,1,0,6045
0.917910,9,1,0,6769
1.143828,10,1,0,7263
1.361781,11,1,0,7970
1.526038,12,1,0,8496
1.936666,13,1,0,9108
2.049046,14,1,0,9999
2.344827,15,1,0,10543
3.231280,15,1,0,10352
2.774631,16,1,0,11135
2.828042,17,1,0,11278
3.211310,18,1,0,11605
3.376060,19,1,0,12155
4.362132,20,1,0,12729
3.631024,21,1,0,13175
4.104308,21,1,0,12949
4.452902,22,1,0,13540
4.272316,23,1,0,14316
4.687674,23,1,0,14398
5.263498,24,1,0,14790
4.549748,23,1,0,13997
5.529955,24,1,0,14616
5.456466,25,1,0,15543
5.961592,26,1,0,16338
5.430154,26,1,0,16174
5.815776,27,1,0,16533
6.083877,28,1,0,17307
6.124653,29,1,0,17778
6.849827,29,1,0,17330
7.126035,30,1,0,17601
6.210486,31,1,0,17812
6.839594,32,1,0,18365
6.985680,33,1,0,18787
6.962174,34,1,0,19073
7.234082,35,1,0,19542
8.056584,35,1,0,19139
8.557620,36,1,0,19629
7.529796,36,1,0,19319
8.026390,36,2,0,20021
7.621945,36,2,0,19812
8.650003,34,5,0,20319
7.496568,36,4,0,21087
8.206175,40,1,0,21737
8.381882,39,2,0,21925
9.039025,40,2,0,22367
8.826517,41,1,0,22280
9.801150,42,1,0,22797
11.336067,43,1,0,23350
9.418060,44,1,0,23875
9.419172,45,1,0,24294
8.935635,45,1,0,24432
11.119770,46,1,0,24934
9.933154,47,1,0,25516
10.625490,48,1,0,25999
13.008895,49,1,0,26512
11.505763,49,1,0,26173
13.084678,50,1,0,26879
12.726119,50,1,0,26964
13.058158,51,1,0,27352
12.501385,52,1,0,27938
11.273362,53,1,0,28381
12.444222,54,1,0,28781
14.217367,55,1,0,29132
12.276177,46,10,0,27856
14.110169,55,1,0,28527
14.496775,56,1,0,29225
13.983770,57,1,0,29573
14.198008,58,1,0,30078
14.357164,59,1,0,30471
15.528833,60,1,0,30560
14.578364,61,1,0,31152
14.385399,62,1,0,31883
15.994053,59,5,0,32151
15.275143,59,6,0,32996
20.118438,56,9,0,32765
17.020471,55,10,0,32627
22.498525,60,5,0,33166
20.089427,63,3,0,33803
17.794608,66,1,0,34348
17.366775,63,5,0,34862
20.121964,68,1,0,35449
23.975384,68,2,0,35595
21.133146,70,1,0,36447
21.636532,70,1,0,35816
24.961750,70,1,0,35793
19.811141,71,1,0,36218
25.873322,71,1,0,36203
20.192327,72,1,0,36562
24.064859,73,1,0,36961
21.066194,65,10,0,37062
23.160970,59,15,0,36023
26.339551,59,16,0,36144
23.028457,59,17,0,36431
23.206565,62,15,0,36989
21.180012,63,14,0,37069
27.172596,66,12,0,37427
22.592145,78,1,0,38237
22.813184,79,1,0,38757
22.973537,80,1,0,38993
25.090710,80,1,0,38442
26.342979,81,1,0,38945
27.218654,78,5,0,39348
29.635901,73,11,0,39450
26.981938,83,1,0,39556
26.299506,84,1,0,39990
26.359443,84,1,0,39897
23.133259,82,4,0,40172
25.222563,74,12,0,39408
24.793198,85,1,0,40078
26.373613,86,1,0,40206
22.454188,86,1,0,40153
22.651927,87,1,0,40631
21.587216,88,1,0,41184
24.040035,89,1,0,41538
25.486584,89,1,0,41483
28.334233,86,4,0,41569
31.428670,1073741824,1073741824,1073741824,1073741824
26.015913,-685266080,-685528960,-685190848,-685183136
