#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
0.406156,0.058983,0.904772,0.003556,0.003556,1.376769
1.363397,0.228750,2.569149,0.001041,0.001041,4.163589
1.658320,0.179348,7.793033,0.107439,0.107439,22.182103
1.700362,0.155815,3.871626,0.431786,0.431786,20.673679
2.569080,0.112619,6.236517,0.572303,0.572303,29.866490
2.816202,0.215965,6.685456,0.630180,0.630180,29.978906
2.705037,0.119639,9.050681,0.917910,0.917910,35.055376
2.664883,0.139808,12.253622,1.143828,1.143828,42.848319
3.667131,0.194282,27.945513,1.361781,1.361781,66.960603
4.197658,0.182811,29.347429,1.526038,1.526038,63.449165
5.448648,0.105889,27.582957,1.936666,1.936666,65.025257
4.173071,0.225869,36.212586,2.049046,2.049046,71.104797
6.637552,0.246371,28.787303,2.344827,2.344827,70.954722
10.539417,0.126095,27.483201,3.231280,3.231280,79.530891
8.285332,0.222364,15.814095,2.774631,2.774631,66.935915
7.287262,0.207507,15.030728,2.828042,2.828042,68.558542
5.302837,0.160982,12.085391,3.211310,3.211310,75.385542
5.908992,0.264193,32.113388,3.376060,3.376060,84.693684
5.435374,0.333470,12.445476,4.362132,4.362132,69.949658
4.684238,0.189112,29.417025,3.631024,3.631024,100.981761
10.717615,0.261316,37.447237,4.104308,4.104308,111.298709
10.193704,0.222428,38.987874,4.452902,4.452902,117.510798
10.247108,0.142847,35.528455,4.272316,4.272316,109.188034
10.802898,0.160840,51.913141,4.687674,4.687674,127.454388
10.618664,0.129849,33.675080,5.263498,5.263498,116.399375
10.132436,0.148566,33.598097,4.549748,4.549748,109.094035
13.366037,0.316108,46.335986,5.529955,5.529955,123.244419
9.554821,0.132795,33.016224,5.456466,5.456466,105.531214
12.750389,0.262353,39.438244,5.961592,5.961592,127.130210
11.547910,0.159400,48.341785,5.430154,5.430154,142.968184
8.946684,0.137456,46.557716,5.815776,5.815776,145.798804
9.978517,0.310994,37.454686,6.083877,6.083877,135.732906
10.676909,0.327253,31.896839,6.124653,6.124653,131.608296
8.447043,0.170768,39.996090,6.849827,6.849827,146.164811
10.138642,0.242852,41.417431,7.126035,7.126035,151.983963
6.791944,0.289372,45.748735,6.210486,6.210486,154.093555
6.226480,0.291818,36.798831,6.839594,6.839594,157.447076
7.166343,0.312575,34.472759,6.985680,6.985680,138.299233
