#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,561.152294,0.000000,0.000000,1499.212277,1378.566520,0.349193,563.724740
0.000000,0.000000,501.254992,0.000000,0.000000,1478.762257,45.095294,0.290754,3610.021211
0.000000,0.000000,474.719215,0.000000,0.000000,124.598163,37.913454,0.264406,616.584781
0.000000,0.000000,476.250802,0.000000,0.000000,100.137031,39.936418,0.279664,596.768848
0.000000,0.000000,473.458501,0.000000,0.000000,95.251176,39.503121,0.282400,613.671478
0.000000,0.000000,478.005296,0.000000,0.000000,91.035000,39.134558,0.337609,3357.704777
0.000000,0.000000,477.461879,0.000000,0.000000,96.034935,41.792878,0.257747,2003.041066
0.000000,0.000000,471.443064,0.000000,0.000000,96.808449,36.117477,0.066849,635.992608
0.000000,0.000000,494.722573,0.000000,0.000000,95.466419,37.652489,0.255575,636.585056
0.000000,0.000000,476.294766,0.000000,0.000000,97.163116,37.413962,0.262205,612.881281
0.000000,0.000000,472.411410,0.000000,0.000000,97.556910,36.081115,0.351317,604.397476
0.000000,0.000000,475.317872,0.000000,0.000000,97.112990,36.686031,0.264875,614.960503
0.000000,0.000000,481.315848,0.000000,0.000000,95.066850,36.076787,0.265886,616.181866
0.000000,0.000000,468.931176,0.000000,0.000000,91.268863,34.382193,0.350669,603.724202
0.000000,0.000000,473.325124,0.000000,0.000000,88.909578,35.850078,0.325530,610.507557
0.000000,0.000000,469.873920,0.000000,0.000000,87.926434,32.429264,0.270035,605.841217
0.000000,0.000000,482.117142,0.000000,0.000000,90.059436,34.249349,0.281600,632.518050
0.000000,0.000000,499.265094,0.000000,0.000000,89.754725,33.642088,0.061892,632.473388
0.000000,0.000000,479.333367,0.000000,0.000000,90.928623,33.234598,0.319681,607.028431
0.000000,0.000000,476.230707,0.000000,0.000000,95.746896,33.211880,0.347863,602.896383
0.000000,0.000000,475.449486,0.000000,0.000000,99.716785,33.312221,0.035816,597.461466
0.000000,0.000000,480.966444,0.000000,0.000000,95.157567,32.025205,0.249891,606.956566
0.000000,0.000000,472.458261,0.000000,0.000000,97.787040,33.531477,0.036381,597.518679
0.000000,0.000000,467.851942,0.000000,0.000000,96.373270,34.725442,0.283868,593.967668
0.000000,0.000000,471.076860,0.000000,0.000000,96.450836,33.099269,0.037826,601.828688
0.000000,0.000000,472.563278,0.000000,0.000000,92.384072,30.986783,0.258986,608.197621
0.000000,0.000000,470.888311,0.000000,0.000000,86.259817,31.844032,0.232057,599.422582
0.000000,0.000000,471.066129,0.000000,0.000000,85.791703,29.611019,0.025230,604.238337
0.000000,0.000000,468.263319,0.000000,0.000000,89.460797,30.644920,0.249768,600.929216
0.000000,0.000000,534.153557,0.000000,0.000000,92.776601,31.057991,0.268997,665.236836
0.000000,0.000000,470.457382,0.000000,0.000000,94.822112,34.104641,0.277308,595.250331
0.000000,0.000000,470.339419,0.000000,0.000000,97.832712,33.818540,0.377287,589.862263
0.000000,0.000000,476.108880,0.000000,0.000000,101.178028,31.846893,0.349463,592.912916
