#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000000,3,1,0,2190
0.004159,4,1,0,2692
0.122958,5,1,0,3262
0.362857,6,1,0,3765
0.446806,6,1,0,3563
0.819768,6,1,0,3511
0.580541,6,1,0,3482
0.674295,6,1,0,3454
0.614529,6,1,0,3406
0.688755,6,1,0,3381
0.654018,6,1,0,3363
0.758156,6,1,0,3347
1.386480,6,1,0,3300
0.761949,6,1,0,3228
0.651691,6,1,0,3156
0.584676,6,1,0,3112
0.566230,6,1,0,3083
0.314986,6,1,0,3040
0.591657,6,1,0,3000
0.770680,6,1,0,2973
0.591215,6,1,0,2939
0.519744,6,1,0,2891
0.505065,6,1,0,2784
0.431720,6,1,0,2680
0.493586,6,1,0,2676
0.459659,6,1,0,2689
0.426788,6,1,0,2691
0.461250,6,1,0,2706
0.515790,6,1,0,2738
0.518796,6,1,0,2776
0.507511,6,1,0,2815
0.510978,6,1,0,2868
0.376573,6,1,0,3011
0.549306,6,1,0,3154
0.633445,6,1,0,3202
0.557118,6,1,0,3250
0.960031,6,1,0,3230
0.643064,6,1,0,3239
0.906729,6,1,0,3309
0.888819,6,1,0,3353
0.626347,6,1,0,3291
0.587051,6,1,0,3294
0.640895,6,1,0,3204
0.592466,6,1,0,3127
0.549860,6,1,0,3036
0.816687,6,1,0,2771
0.565860,7,1,0,3034
0.503507,7,1,0,2869
0.580037,7,1,0,2761
0.691520,7,1,0,2726
0.745491,7,1,0,2690
0.470727,7,1,0,2676
0.626173,7,1,0,2742
0.502460,7,1,0,2767
0.542780,6,1,0,2521
0.546188,7,1,0,2821
0.395375,6,1,0,2630
0.638432,6,1,0,2632
0.509537,6,1,0,2741
0.639384,6,1,0,2715
0.485585,6,1,0,2708
0.837885,6,1,0,2673
0.472335,6,1,0,2611
0.465632,6,1,0,2539
0.681473,6,1,0,2453
0.616539,6,1,0,2364
0.551258,6,1,0,2280
0.411359,6,1,0,2203
0.389668,6,1,0,2150
0.371583,7,1,0,2312
0.398243,6,1,0,2016
0.524088,6,1,0,1991
0.509114,6,1,0,2002
0.352514,6,1,0,2036
0.337691,6,1,0,2104
0.334034,6,1,0,2205
0.349958,6,1,0,2363
0.386165,6,1,0,2463
0.445670,6,1,0,2476
0.438476,6,1,0,2521
0.433976,6,1,0,2529
0.446487,6,1,0,2477
0.577004,6,1,0,2541
0.519380,6,1,0,2508
0.838668,6,1,0,2503
0.438790,6,1,0,2495
0.621356,6,1,0,2495
0.437974,6,1,0,2421
0.479445,6,1,0,2319
0.456302,6,1,0,2234
0.635004,7,1,0,2499
0.391268,6,1,0,2174
0.703604,6,1,0,2138
0.425622,6,1,0,2122
0.393485,6,1,0,2100
0.400079,6,1,0,2073
0.375511,7,1,0,2292
0.509485,7,1,0,2264
0.670173,7,1,0,2230
0.442183,7,1,0,2214
0.429557,6,1,0,1976
0.430933,6,1,0,1947
0.529771,6,1,0,1896
0.384241,7,1,0,2047
0.336169,6,1,0,1848
0.391227,7,1,0,1995
0.301631,7,1,0,1962
0.367954,7,1,0,1927
0.354304,7,1,0,1909
0.558219,7,1,0,1900
0.482419,7,1,0,1892
0.380288,7,1,0,1872
0.332660,7,1,0,1857
0.403577,7,1,0,1842
0.354357,7,1,0,1860
0.344523,7,1,0,1848
0.343626,7,1,0,1866
0.326532,7,1,0,1866
0.328614,7,1,0,1865
0.348727,7,1,0,1878
0.453448,7,1,0,1879
0.336689,7,1,0,1932
0.342876,7,1,0,1892
0.489215,8,1,0,2029
0.450120,7,1,0,1909
2.654783,7,1,0,1910
0.428150,7,1,0,1947
1.991599,7,1,0,1996
0.355958,7,1,0,2110
0.468586,6,1,0,2051
0.410514,6,1,0,2119
0.357787,6,1,0,2130
0.424876,6,1,0,2131
0.548948,7,1,0,2437
0.426936,7,1,0,2365
0.675292,6,1,0,2073
0.459118,6,1,0,2045
0.593119,7,1,0,2350
0.338249,7,1,0,2268
0.604886,7,1,0,2228
0.480571,7,1,0,2192
0.475567,7,1,0,2167
0.396919,7,1,0,2115
0.432654,7,1,0,2075
