#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
0.249435,0.058956,0.093273,0.000000,0.000000,0.403135
0.224044,0.114950,1.795099,0.004159,0.004159,2.143682
1.769475,0.102288,1.936737,0.122958,0.122958,13.832119
2.962644,0.126950,6.268176,0.362857,0.362857,22.282519
2.891497,0.101044,2.562108,0.446806,0.446806,19.993529
2.953851,0.000385,5.801710,0.819768,0.819768,25.040772
2.822765,0.000105,3.072852,0.580541,0.580541,23.405086
2.844502,0.000088,3.211429,0.674295,0.674295,21.693741
2.783982,0.000711,3.499480,0.614529,0.614529,23.964635
3.263311,0.000171,3.006598,0.688755,0.688755,21.289409
2.972684,0.000106,3.044286,0.654018,0.654018,20.889683
2.529631,0.000163,2.928261,0.758156,0.758156,20.045547
2.682714,0.000146,4.221215,1.386480,1.386480,22.942702
2.973431,0.000125,3.360698,0.761949,0.761949,18.212379
2.390039,0.000097,3.174479,0.651691,0.651691,20.462608
2.249858,0.000110,2.662347,0.584676,0.584676,18.187764
2.063433,0.000818,2.316244,0.566230,0.566230,18.483757
1.908538,0.000101,2.094184,0.314986,0.314986,15.537216
2.070872,0.000072,2.151585,0.591657,0.591657,16.273360
1.776281,0.000098,2.000566,0.770680,0.770680,16.254004
1.758310,0.000105,1.922578,0.591215,0.591215,15.533699
1.666865,0.000071,1.956688,0.519744,0.519744,18.616725
1.578030,0.000109,1.839074,0.505065,0.505065,12.783990
2.099811,0.000112,2.566913,0.431720,0.431720,19.663742
1.128760,0.000117,1.358728,0.493586,0.493586,15.854766
0.994969,0.000080,1.361371,0.459659,0.459659,14.034147
1.011878,0.000086,1.192742,0.426788,0.426788,13.294972
1.264540,0.000083,1.322931,0.461250,0.461250,13.467300
0.994539,0.000079,1.298344,0.515790,0.515790,12.700041
1.452120,0.000147,1.757553,0.518796,0.518796,14.595927
1.177474,0.000083,1.552471,0.507511,0.507511,14.198986
1.287395,0.000090,1.411931,0.510978,0.510978,14.287144
1.914153,0.000861,1.707639,0.376573,0.376573,14.237910
1.591676,0.000115,1.867293,0.549306,0.549306,15.725906
2.063897,0.000070,2.214807,0.633445,0.633445,16.645416
2.285397,0.000123,2.524581,0.557118,0.557118,18.838194
2.315518,0.000180,4.235428,0.960031,0.960031,19.940708
2.400346,0.000071,3.193549,0.643064,0.643064,18.808051
2.794278,0.000184,3.447402,0.906729,0.906729,21.630689
2.403387,0.000109,2.957083,0.888819,0.888819,18.060560
2.665259,0.000092,3.132273,0.626347,0.626347,21.067272
3.940708,0.000130,3.029860,0.587051,0.587051,19.983437
2.778432,0.000082,3.199770,0.640895,0.640895,21.852704
3.846015,0.000125,4.064270,0.592466,0.592466,23.055084
3.045395,0.000095,5.393944,0.549860,0.549860,21.441870
2.828557,0.000134,3.083832,0.816687,0.816687,18.919587
2.512319,0.000081,3.302206,0.565860,0.565860,18.982497
1.851717,0.000205,5.794879,0.503507,0.503507,18.584943
3.186312,0.000115,5.077451,0.580037,0.580037,21.481460
1.936010,0.000129,3.858189,0.691520,0.691520,16.435512
2.476000,0.000143,4.507297,0.745491,0.745491,17.701358
2.088820,0.000087,2.548088,0.470727,0.470727,15.276443
1.669063,0.000141,2.528792,0.626173,0.626173,15.330005
1.741587,0.000168,2.806866,0.502460,0.502460,14.645307
2.366219,0.000102,2.446369,0.542780,0.542780,16.758340
2.254750,0.000112,3.085417,0.546188,0.546188,16.394136
1.632645,0.000079,2.176078,0.395375,0.395375,14.690568
2.572380,0.000116,3.900753,0.638432,0.638432,16.369179
2.205796,0.000141,3.323403,0.509537,0.509537,15.566876
2.169112,0.000107,2.566024,0.639384,0.639384,14.538493
2.957777,0.000068,3.887661,0.485585,0.485585,16.463313
2.623328,0.000108,2.845339,0.837885,0.837885,16.913735
2.597883,0.000193,5.958841,0.472335,0.472335,18.403571
2.587104,0.000107,2.840258,0.465632,0.465632,15.346536
2.104789,0.001882,2.786809,0.681473,0.681473,15.159822
1.931367,0.000060,2.498705,0.616539,0.616539,13.515737
2.362158,0.000270,3.625134,0.551258,0.551258,14.681320
1.661907,0.000079,2.203077,0.411359,0.411359,12.999888
1.462019,0.000085,1.721818,0.389668,0.389668,11.133933
1.793008,0.000224,2.378207,0.371583,0.371583,13.447916
1.907712,0.000208,2.006538,0.398243,0.398243,11.725632
1.725538,0.000097,2.030193,0.524088,0.524088,11.923979
1.200046,0.000270,1.639730,0.509114,0.509114,12.665017
0.817255,0.000077,1.066637,0.352514,0.352514,8.262899
0.902246,0.000085,1.448600,0.337691,0.337691,9.123279
1.191826,0.000080,1.400308,0.334034,0.334034,10.301479
1.464626,0.000100,1.960024,0.349958,0.349958,11.209675
1.438374,0.000097,1.937248,0.386165,0.386165,11.672240
1.943924,0.000187,2.437678,0.445670,0.445670,12.692361
1.955214,0.000081,2.376161,0.438476,0.438476,13.587599
2.896532,0.000214,2.906815,0.433976,0.433976,15.392682
3.173914,0.000152,2.852538,0.446487,0.446487,16.511356
2.239175,0.000071,2.909061,0.577004,0.577004,18.472788
2.582780,0.000101,2.971032,0.519380,0.519380,18.210889
3.108698,0.000120,3.548538,0.838668,0.838668,20.352458
2.250783,0.000096,2.476574,0.438790,0.438790,14.766396
3.017987,0.000171,5.477261,0.621356,0.621356,18.268530
2.121288,0.000092,2.386791,0.437974,0.437974,13.837324
2.137726,0.000112,2.740895,0.479445,0.479445,14.774606
2.064293,0.000270,2.613081,0.456302,0.456302,14.154278
3.193955,0.000162,7.157280,0.635004,0.635004,23.247836
1.626307,0.000094,2.434998,0.391268,0.391268,13.754032
2.283901,0.000144,2.642925,0.703604,0.703604,15.303411
2.025923,0.000102,2.937026,0.425622,0.425622,14.548208
1.560596,0.000082,2.791372,0.393485,0.393485,12.262999
1.728098,0.000193,2.009953,0.400079,0.400079,12.712539
1.920681,0.000123,3.704143,0.375511,0.375511,15.035830
1.294367,0.000079,1.760443,0.509485,0.509485,12.092344
2.415969,0.000096,3.894008,0.670173,0.670173,16.981013
1.874581,0.000077,2.358604,0.442183,0.442183,12.739937
1.703560,0.000076,2.094510,0.429557,0.429557,11.564403
1.571254,0.000092,2.267350,0.430933,0.430933,13.296486
1.273251,0.000086,2.921241,0.529771,0.529771,13.903865
1.822400,0.000116,2.908220,0.384241,0.384241,15.406090
1.637441,0.000248,1.881154,0.336169,0.336169,11.423067
1.169902,0.000084,1.801555,0.391227,0.391227,9.710254
0.989675,0.000123,1.387840,0.301631,0.301631,9.772318
1.580971,0.000097,3.048682,0.367954,0.367954,13.820108
1.213711,0.000090,1.820492,0.354304,0.354304,8.957301
1.108613,0.000089,1.529081,0.558219,0.558219,10.763757
0.939864,0.000090,1.594866,0.482419,0.482419,9.362004
0.903663,0.000067,1.578201,0.380288,0.380288,9.267950
1.022638,0.000198,1.617638,0.332660,0.332660,10.412154
1.113707,0.000086,1.408782,0.403577,0.403577,10.191509
0.762856,0.000106,1.512124,0.354357,0.354357,7.886038
1.016278,0.000119,4.276190,0.344523,0.344523,11.824373
0.849250,0.000086,1.737859,0.343626,0.343626,9.282022
0.807182,0.000096,1.500650,0.326532,0.326532,8.298830
0.912279,0.000114,4.418550,0.328614,0.328614,12.360971
1.046841,0.000326,3.216548,0.348727,0.348727,10.658040
1.256266,0.000084,2.254282,0.453448,0.453448,9.812833
0.923276,0.000076,1.593243,0.336689,0.336689,9.552837
0.876997,0.000104,4.526959,0.342876,0.342876,12.567168
1.079175,0.000074,2.588409,0.489215,0.489215,10.490050
1.047087,0.000104,1.637351,0.450120,0.450120,9.407953
1.232907,0.000084,2.209810,2.654783,2.654783,12.333095
0.957842,0.000097,3.199291,0.428150,0.428150,10.650873
1.022724,0.000246,1.593285,1.991599,1.991599,11.712607
1.127775,0.003081,1.593920,0.355958,0.355958,8.924069
1.454893,0.000075,1.965695,0.468586,0.468586,11.539698
1.623352,0.000123,2.899980,0.410514,0.410514,11.989396
1.805018,0.000145,3.247618,0.357787,0.357787,12.222147
1.753845,0.000101,2.155983,0.424876,0.424876,11.324999
2.118464,0.000070,4.285219,0.548948,0.548948,14.433492
1.724959,0.000085,2.045285,0.426936,0.426936,12.944385
3.550543,0.000079,2.832181,0.675292,0.675292,15.646872
2.066489,0.000091,2.698003,0.459118,0.459118,12.665654
2.689061,0.000124,3.131769,0.593119,0.593119,13.462458
2.080944,0.000125,2.177897,0.338249,0.338249,12.395822
2.454458,0.000147,4.283762,0.604886,0.604886,15.272004
2.338644,0.000100,3.003242,0.480571,0.480571,14.487923
2.362872,0.000078,3.025431,0.475567,0.475567,14.309128
1.859974,0.000098,2.820270,0.396919,0.396919,12.502130
2.069226,0.000071,3.128676,0.432654,0.432654,13.500226
1.943916,0.000115,2.715669,0.396236,0.396236,11.665321
1.873870,0.000098,2.696977,0.376351,0.376351,11.443278
1.735031,0.000095,3.394824,0.385630,0.385630,13.425097
2.214338,0.000103,4.224331,0.404701,0.404701,15.292834
2.173146,0.000105,2.560157,0.373315,0.373315,11.783376
1.623630,0.000084,2.119071,0.361240,0.361240,10.121019
1.401036,0.000086,2.352206,0.349001,0.349001,9.541378
1.739828,0.000103,2.354762,0.355212,0.355212,10.941040
1.438772,0.000091,2.060287,0.367489,0.367489,9.510041
1.673823,0.000085,2.040699,0.391563,0.391563,10.049693
1.353066,0.000098,2.230840,0.358042,0.358042,9.572462
1.325201,0.000087,2.112504,0.352010,0.352010,11.786674
1.211476,0.000062,2.299020,0.337004,0.337004,9.236858
1.498257,0.000098,1.863871,0.331309,0.331309,9.232010
1.687787,0.000184,2.205666,0.333220,0.333220,8.942816
1.380616,0.000080,2.264525,0.376421,0.376421,10.694997
1.462655,0.000122,1.714384,0.322776,0.322776,8.120223
1.272964,0.000076,1.908382,0.368296,0.368296,8.461048
1.267841,0.000081,1.539964,0.326898,0.326898,8.054595
1.284731,0.000074,1.653117,0.323043,0.323043,8.159685
1.636290,0.000100,2.168906,0.316649,0.316649,8.812907
1.162628,0.000093,1.667096,0.316251,0.316251,8.099144
1.683946,0.000206,3.745282,0.390222,0.390222,19.335014
1.417712,0.000114,1.911579,0.383575,0.383575,8.426977
1.247704,0.000102,2.184125,0.475073,0.475073,9.066524
1.358192,0.000111,2.351328,0.389258,0.389258,9.185709
1.398493,0.000146,2.493882,0.331802,0.331802,10.258168
1.268558,0.000077,2.273760,0.515607,0.515607,10.666604
1.664808,0.000095,3.276552,0.334373,0.334373,11.100156
1.629044,0.000088,3.732219,0.543291,0.543291,12.234057
1.550373,0.000102,2.206191,0.451053,0.451053,9.945194
1.138543,0.000135,4.341494,0.331725,0.331725,12.133650
2.113243,0.000098,2.994769,0.416479,0.416479,11.847543
1.379952,0.000099,2.450818,0.335861,0.335861,9.922204
2.141087,0.000107,2.978410,0.458961,0.458961,13.384247
1.413397,0.000108,5.887299,0.344201,0.344201,14.338094
1.665348,0.000097,2.686879,0.319717,0.319717,10.162995
1.866207,0.000144,3.540846,0.415094,0.415094,11.711776
1.512406,0.000137,2.389270,0.419998,0.419998,12.110428
1.733089,0.000105,6.292163,0.545759,0.545759,18.463770
2.260816,0.000199,3.687538,0.454980,0.454980,14.373378
1.744092,0.000079,2.702508,0.385658,0.385658,12.172651
1.914748,0.000321,4.553372,0.382201,0.382201,15.151050
1.587149,0.000086,2.466225,0.379833,0.379833,11.370222
1.405210,0.000147,2.444428,0.536155,0.536155,10.816423
1.253395,0.000098,2.273851,0.376652,0.376652,11.022206
1.370871,0.000086,4.153300,0.373512,0.373512,12.541234
1.472681,0.000069,2.686637,0.377331,0.377331,12.167570
1.018199,0.000079,2.011846,0.504365,0.504365,9.551058
0.944930,0.000075,1.927409,0.346803,0.346803,9.037997
0.887576,0.000089,1.924648,0.357318,0.357318,8.651596
1.031136,0.000106,5.542142,0.347425,0.347425,13.118032
