#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.003511,3,1,0,2399
0.001469,4,1,0,3174
0.256249,5,1,0,3734
0.268800,6,1,0,4527
0.375816,7,1,0,5631
0.471865,8,1,0,6031
0.460707,9,1,0,6762
1.074560,10,1,0,7046
1.057314,11,1,0,8118
1.795493,12,1,0,8975
1.397835,13,1,0,9137
1.409329,12,3,0,9157
2.071983,11,4,0,7064
4.395075,11,5,0,8438
1.944597,15,2,0,8472
2.339000,16,3,0,8827
2.491054,17,3,0,9096
4.187677,19,2,0,8539
2.738250,20,2,0,9727
1.929235,20,3,0,10394
3.690404,22,2,0,11350
2.246572,22,3,0,11460
2.385002,22,4,0,12019
2.708440,23,4,0,12302
4.354737,24,4,0,12818
3.275161,12,16,0,7865
3.169011,12,17,0,8311
6.215034,26,5,0,14290
2.716110,27,5,0,14651
9.319677,28,5,0,15188
6.968982,25,9,0,13255
6.368876,16,18,0,11126
9.564247,21,14,0,11716
7.398369,21,15,0,11077
7.176644,20,17,0,11119
6.292620,18,20,0,10553
9.032027,21,18,0,11937
7.634933,16,24,0,8488
11.203428,18,23,0,9200
7.692622,21,21,0,9527
4.658027,24,19,0,11563
7.557823,30,14,0,12222
7.458211,27,18,0,11699
6.989921,28,18,0,11590
7.832683,38,9,0,13833
4.272452,37,11,0,14011
10.272864,36,14,0,15277
5.574881,16,34,0,9891
7.869486,19,32,0,13554
5.635044,15,37,0,9424
14.994641,18,35,0,10178
11.837871,17,37,0,9930
5.664043,25,30,0,13018
10.815467,16,40,0,10634
10.318733,18,39,0,11577
6.371227,28,30,0,15736
9.900266,18,41,0,10382
17.597282,17,43,0,10761
4.496629,24,37,0,14331
14.621897,21,41,0,11025
6.260601,21,42,0,11174
9.952049,27,37,0,14674
7.706558,26,39,0,14939
12.827696,28,38,0,16218
9.823748,29,38,0,17735
19.096073,28,40,0,16956
20.458187,28,41,0,17483
22.431367,42,28,0,23182
12.109380,31,40,0,20305
9.606270,25,47,0,17924
26.387562,27,46,0,18537
31.564147,30,44,0,19344
17.541671,31,44,0,19845
22.564786,25,51,0,16166
14.256069,24,53,0,14602
14.054374,27,51,0,15164
17.126109,24,55,0,16135
13.282533,22,58,0,14056
12.579941,29,52,0,16391
25.082432,26,56,0,14526
16.173527,11,69,0,6984
22.978998,12,69,0,8190
18.966359,-1715621408,-1715613312,-1715522816,-1715603808
6.585766,32622,32622,32622,32622
