#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
1.850175,0.043084,0.720792,0.003511,0.003511,2.621563
8.885485,0.172092,1583.109747,0.001469,0.001469,1592.170081
3.192978,0.229767,75.050680,0.256249,0.256249,90.276466
4.267803,0.384298,188.915185,0.268800,0.268800,209.534707
3.806825,0.581971,246.244417,0.375816,0.375816,268.178333
4.072650,0.756931,324.446342,0.471865,0.471865,350.911804
3.860080,0.648699,362.688864,0.460707,0.460707,398.680355
4.668440,0.764719,514.025583,1.074560,1.074560,822.873121
4.155679,1.172177,506.507876,1.057314,1.057314,550.772659
4.453257,0.948881,570.464694,1.795493,1.795493,834.346502
4.388424,0.878225,699.745211,1.397835,1.397835,908.412911
5.195514,1.298001,710.167733,1.409329,1.409329,930.397023
3.005101,1.436912,731.397151,2.071983,2.071983,996.573240
4.527108,1.931581,735.493792,4.395075,4.395075,947.997454
3.595992,2.596730,685.896150,1.944597,1.944597,879.715166
4.174681,1.248513,692.034885,2.339000,2.339000,935.211214
3.144849,1.953175,682.105184,2.491054,2.491054,861.120388
4.061569,1.870127,698.122753,4.187677,4.187677,886.389443
4.290657,1.738777,556.282021,2.738250,2.738250,791.965785
3.957526,1.586373,488.178300,1.929235,1.929235,755.890220
4.947798,1.452661,703.472049,3.690404,3.690404,866.008564
5.667156,1.608273,962.337801,2.246572,2.246572,1038.234290
5.506892,2.010309,979.783346,2.385002,2.385002,1065.154913
6.063015,2.220230,1020.101419,2.708440,2.708440,1103.237290
6.769262,1.975438,1015.398923,4.354737,4.354737,1105.182801
6.167934,5.549169,730.517435,3.275161,3.275161,1123.131051
5.765771,2.293590,1063.182424,3.169011,3.169011,1161.211202
5.379043,1.976820,1024.416074,6.215034,6.215034,1092.194711
6.096155,2.255425,1087.010061,2.716110,2.716110,1152.046825
6.922831,1.715969,808.222638,9.319677,9.319677,1182.259255
4.943321,1.681340,876.655544,6.968982,6.968982,1189.265303
7.062885,2.228688,1073.992658,6.368876,6.368876,1200.946564
7.323941,2.433387,1013.953848,9.564247,9.564247,1131.926215
4.831651,1.697091,722.568061,7.398369,7.398369,985.307975
6.563821,2.060063,608.356988,7.176644,7.176644,928.850109
3.772567,1.467679,541.285722,6.292620,6.292620,853.492301
4.901253,1.594682,640.186194,9.032027,9.032027,904.792492
5.941799,1.121487,735.166895,7.634933,7.634933,949.150047
3.362578,6.877643,590.738218,11.203428,11.203428,709.847739
5.486027,1.246525,610.043609,7.692622,7.692622,898.421713
8.005059,1.183359,587.696128,4.658027,4.658027,685.239352
7.243471,1.250050,532.195992,7.557823,7.557823,860.843605
6.776136,1.247420,547.766956,7.458211,7.458211,861.012504
4.298600,1.091580,459.826059,6.989921,6.989921,791.846062
4.590246,0.545267,408.097784,7.832683,7.832683,508.956749
6.167009,0.566397,347.842533,4.272452,4.272452,452.470751
8.098590,0.560184,279.530316,10.272864,10.272864,416.959462
7.858426,0.395532,261.125822,5.574881,5.574881,392.977711
8.495968,0.388636,145.567520,7.869486,7.869486,298.788253
6.893740,0.365204,465.286083,5.635044,5.635044,550.046851
6.719583,0.491771,481.228954,14.994641,14.994641,642.325476
5.477569,1.622016,544.293979,11.837871,11.837871,831.023818
5.053775,1.696342,428.397260,5.664043,5.664043,515.333850
7.206855,1.306514,460.539753,10.815467,10.815467,556.330020
7.370924,1.177400,583.288460,10.318733,10.318733,878.111216
5.332113,1.110902,468.185662,6.371227,6.371227,556.647604
7.621033,1.454008,421.820642,9.900266,9.900266,531.613059
6.262049,1.469715,424.540090,17.597282,17.597282,839.470512
5.159703,1.606028,339.383711,4.496629,4.496629,423.992810
9.446628,0.847998,447.929717,14.621897,14.621897,863.840312
8.578358,1.383705,369.936952,6.260601,6.260601,492.460851
6.169999,1.334352,306.443548,9.952049,9.952049,403.964413
7.119618,0.844309,402.136572,7.706558,7.706558,506.728154
15.633120,0.885648,622.912877,12.827696,12.827696,1001.614536
8.217002,1.017697,755.121652,9.823748,9.823748,1145.016408
7.361584,1.454335,612.781333,19.096073,19.096073,1074.702050
7.268570,1.323016,620.735251,20.458187,20.458187,1156.600949
5.770519,1.502741,729.503732,22.431367,22.431367,1226.007068
9.254353,1.535767,788.615297,12.109380,12.109380,1297.155253
7.191534,1.609938,740.908685,9.606270,9.606270,1201.759360
8.311796,1.985907,667.442680,26.387562,26.387562,1196.513238
6.706147,1.563398,673.915853,31.564147,31.564147,1032.795680
11.884924,2.252355,698.048350,17.541671,17.541671,1094.696607
6.368232,1.725114,706.647840,22.564786,22.564786,1184.614919
5.878468,1.672526,777.060906,14.256069,14.256069,1128.335519
7.258963,1.566697,631.274240,14.054374,14.054374,1075.993520
8.087635,2.185164,617.543459,17.126109,17.126109,1003.826611
8.933684,1.888222,519.618653,13.282533,13.282533,950.201015
10.753383,1.401939,399.748698,12.579941,12.579941,803.387660
6.024939,1.206447,718.884048,25.082432,25.082432,889.393466
4.469229,1.601162,549.062942,16.173527,16.173527,838.055109
5.202405,1.418004,475.624407,22.978998,22.978998,804.758043
4.661341,1.470564,598.008408,18.966359,18.966359,828.652792
4.089875,1.728499,899.176335,6.585766,6.585766,996.860913
