# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548266469.90091 0.171783 -1.54593 1.91525 -0.106329 -0.00842705 -0.211585 0.971522
1548266469.93419 0.171004 -1.53964 1.9206 -0.107978 -0.0102278 -0.207659 0.97217
1548266469.96728 0.170301 -1.53337 1.92558 -0.110753 -0.0107034 -0.208134 0.971751
1548266470.00082 0.169501 -1.52719 1.9304 -0.113145 -0.0123931 -0.204952 0.972131
1548266470.03409 0.168162 -1.52113 1.93508 -0.114394 -0.0160099 -0.200729 0.972813
1548266470.06725 0.167222 -1.51562 1.9391 -0.117875 -0.0162046 -0.200211 0.972501
1548266470.10067 0.166469 -1.51049 1.9432 -0.117997 -0.0159989 -0.200694 0.97239
1548266470.13398 0.165651 -1.50519 1.94674 -0.120865 -0.017394 -0.196876 0.972794
1548266470.16716 0.164965 -1.50113 1.95006 -0.11922 -0.0174198 -0.197371 0.972897
1548266470.20077 0.164266 -1.49708 1.95302 -0.119622 -0.018328 -0.195 0.973309
1548266470.23389 0.163456 -1.49338 1.95596 -0.118327 -0.0194877 -0.191363 0.974166
1548266470.26706 0.163054 -1.49002 1.95844 -0.117994 -0.017811 -0.192449 0.974024
1548266470.30049 0.162259 -1.48637 1.96075 -0.118475 -0.0174588 -0.191858 0.974089
1548266470.33397 0.161176 -1.48271 1.96308 -0.117216 -0.0168135 -0.189263 0.97476
1548266470.36756 0.160384 -1.47844 1.96529 -0.117148 -0.0155947 -0.192189 0.974216
1548266470.40084 0.158832 -1.47437 1.96707 -0.117412 -0.0153855 -0.190745 0.974471
1548266470.43421 0.157539 -1.46861 1.96876 -0.119289 -0.0177804 -0.187927 0.97475
1548266470.46752 0.15654 -1.46352 1.97081 -0.116148 -0.0161367 -0.186071 0.975514
1548266470.50097 0.154808 -1.45762 1.97232 -0.116561 -0.0149146 -0.187308 0.975247
1548266470.53415 0.152937 -1.45035 1.97339 -0.120464 -0.0152356 -0.183039 0.975578
1548266470.56751 0.15059 -1.44308 1.97463 -0.121008 -0.0164338 -0.179343 0.976178
1548266470.60101 0.14749 -1.43579 1.97518 -0.124083 -0.0177721 -0.177152 0.976168
1548266470.63427 0.143755 -1.42799 1.97559 -0.126327 -0.017793 -0.173829 0.976478
1548266470.66761 0.139231 -1.41944 1.97576 -0.126547 -0.0190942 -0.16965 0.977159
1548266470.70069 0.134055 -1.41211 1.97496 -0.127622 -0.0206214 -0.167617 0.977339
1548266470.73414 0.128782 -1.40414 1.97373 -0.131293 -0.0198708 -0.165792 0.97718
1548266470.76751 0.123024 -1.39726 1.97251 -0.130136 -0.0222298 -0.165477 0.977337
1548266470.80081 0.1168 -1.39194 1.97079 -0.127312 -0.0223786 -0.165374 0.977723
1548266470.83408 0.110502 -1.38674 1.96845 -0.127315 -0.0214483 -0.16458 0.977877
1548266470.86749 0.103796 -1.38192 1.96599 -0.126105 -0.0217239 -0.161151 0.978599
1548266470.90069 0.0973266 -1.37786 1.96306 -0.125791 -0.0208471 -0.161648 0.978576
1548266470.93402 0.0911389 -1.37404 1.95989 -0.125463 -0.0182002 -0.161469 0.978701
1548266470.96736 0.0844197 -1.37044 1.95622 -0.125615 -0.017571 -0.15926 0.979055
1548266471.00062 0.0778778 -1.36746 1.95268 -0.120449 -0.0154838 -0.159298 0.979733
1548266471.03415 0.0716044 -1.3647 1.94869 -0.115944 -0.0147043 -0.15976 0.980213
1548266471.06733 0.0654673 -1.3619 1.94438 -0.113548 -0.0137882 -0.159662 0.980523
1548266471.10089 0.0598181 -1.359 1.93955 -0.11349 -0.0110129 -0.15768 0.980885
1548266471.13398 0.054171 -1.35635 1.93477 -0.10809 -0.00927075 -0.15789 0.981479
1548266471.16738 0.0487146 -1.35303 1.92973 -0.103728 -0.00869571 -0.155888 0.982275
1548266471.20092 0.0437562 -1.34917 1.92449 -0.101562 -0.0082712 -0.152465 0.983042
1548266471.23427 0.0389233 -1.3454 1.91905 -0.0978907 -0.00760143 -0.152133 0.983471
1548266471.26751 0.0348466 -1.34077 1.91324 -0.0983093 -0.00636307 -0.150934 0.983623
1548266471.30097 0.0305861 -1.33676 1.90779 -0.0958959 -0.00657253 -0.146969 0.98446
1548266471.33408 0.0280948 -1.33351 1.90256 -0.093608 -0.00315427 -0.149775 0.984274
1548266471.36744 0.0253314 -1.33046 1.89781 -0.0931636 -0.00151676 -0.146774 0.984772
1548266471.40078 0.022705 -1.3282 1.89351 -0.092801 -2.85742e-05 -0.145493 0.984997
1548266471.43403 0.0198313 -1.32662 1.88917 -0.0921821 0.0023851 -0.149386 0.98447
1548266471.46757 0.0169414 -1.32457 1.88491 -0.0923589 0.00331556 -0.148071 0.984649
1548266471.50074 0.0140331 -1.322 1.88093 -0.0932822 0.00224632 -0.143564 0.985232
1548266471.53424 0.00996441 -1.32011 1.8765 -0.0924363 0.000259595 -0.1449 0.985119
1548266471.56742 0.00619735 -1.31798 1.87138 -0.0942996 0.00168249 -0.150062 0.984168
1548266471.60083 0.0026534 -1.31598 1.86622 -0.096832 0.00263581 -0.153271 0.983425
1548266471.63399 -0.00129036 -1.314 1.86143 -0.0965675 0.00238242 -0.152888 0.983511
1548266471.66739 -0.0052413 -1.31237 1.85664 -0.0972422 0.00131037 -0.154479 0.983198
1548266471.70084 -0.0087533 -1.31087 1.85205 -0.0992166 0.000926688 -0.153954 0.983084
1548266471.73403 -0.013183 -1.3092 1.84845 -0.0983455 -0.00600723 -0.141599 0.985009
1548266471.76734 -0.0180207 -1.30884 1.84518 -0.0981437 -0.0104536 -0.133591 0.98611
1548266471.80076 -0.0218217 -1.30981 1.8422 -0.0973409 -0.0113683 -0.138799 0.985459
1548266471.83406 -0.0250585 -1.31121 1.84014 -0.0955595 -0.0153791 -0.132272 0.986477
1548266471.86730 -0.0274715 -1.31366 1.83898 -0.0943405 -0.0197306 -0.12113 0.987946
1548266471.90077 -0.0295764 -1.31738 1.8384 -0.0933446 -0.0219125 -0.115769 0.988638
1548266471.93410 -0.0310421 -1.32167 1.83859 -0.0920356 -0.0230999 -0.112518 0.989109
1548266471.96748 -0.0319117 -1.32631 1.83958 -0.0891154 -0.0265552 -0.107749 0.98982
1548266472.00107 -0.0322283 -1.33079 1.84085 -0.0901318 -0.0259566 -0.110055 0.98949
1548266472.03420 -0.0325948 -1.33483 1.84261 -0.0881703 -0.0257912 -0.110509 0.98962
1548266472.06761 -0.0334386 -1.33765 1.84513 -0.0884821 -0.0289048 -0.106922 0.989901
1548266472.10112 -0.0337163 -1.3397 1.84752 -0.0923589 -0.0279888 -0.106868 0.989579
