#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.003310,3,1,0,1996
0.000881,4,1,0,2495
0.136811,5,1,0,3039
0.338683,6,1,0,3576
0.378455,7,1,0,4013
0.545603,8,1,0,4434
0.850191,9,1,0,4761
0.798272,10,1,0,8791
0.821757,11,1,0,8435
1.304790,12,1,0,7560
0.784395,13,1,0,6354
1.509987,14,1,0,8027
0.856422,15,1,0,8885
0.916617,14,2,0,9060
1.075595,17,1,0,9575
2.156578,18,1,0,10592
1.140174,18,2,0,10977
1.962968,18,3,0,11056
3.457583,19,3,0,11770
1.452388,20,3,0,11596
1.449424,19,5,0,11629
3.362573,20,5,0,12163
4.204094,21,5,0,12883
1.277538,22,5,0,13226
1.938532,23,5,0,12433
4.102515,26,3,0,14353
2.186824,29,1,0,14957
5.157307,30,1,0,15351
4.095106,28,4,0,15084
4.074840,29,4,0,15984
3.849030,32,2,0,16670
3.770156,33,2,0,15759
5.289619,34,2,0,15380
5.706315,30,7,0,15783
4.824266,32,6,0,16192
4.222137,31,8,0,15994
5.105585,38,2,0,16435
6.076203,19,22,0,13349
6.398976,23,19,0,14462
5.558126,18,25,0,13266
3.546806,20,24,0,14260
5.418468,20,25,0,14264
6.922706,25,21,0,16002
7.322514,27,20,0,14838
6.410583,37,11,0,16318
7.008344,33,16,0,16310
7.681121,37,13,0,17540
6.097891,39,12,0,18186
7.790544,19,33,0,13525
7.148335,24,29,0,15850
7.576815,37,17,0,18857
12.653556,28,27,0,16820
8.209924,25,31,0,16218
7.832219,28,29,0,17612
17.791556,44,14,0,20629
7.679695,40,19,0,20208
12.025651,43,17,0,21005
12.683371,24,37,0,17411
6.378385,26,36,0,18247
6.189154,30,33,0,19272
6.803996,26,38,0,17840
8.120107,22,43,0,16213
10.142513,34,33,0,20423
8.013060,31,37,0,18634
0.000000,32,37,0,18830
15.473263,31,39,0,19237
6.076068,33,38,0,19328
10.570041,27,45,0,17259
13.413295,27,45,0,16361
13.155469,11,62,0,4903
6.438652,32,43,0,18881
5.781137,52,24,0,24675
4.723086,45,32,0,22396
12.766776,41,37,0,21911
10.002304,63,16,0,26540
12.901329,73,7,0,26882
11.807493,72,9,0,26568
9.652772,58,24,0,25148
8.879609,36,47,0,20616
12.826392,33,51,0,18805
19.446034,33,52,0,19081
32.991737,29,56,0,14176
7.263886,42,45,0,21607
11.919575,39,49,0,21418
6.912653,35,53,0,17993
17.113314,34,56,0,19451
18.465022,20,70,0,11149
18.580591,23,68,0,13631
9.395307,23,69,0,11670
11.886734,32,61,0,15096
16.284736,35,59,0,15638
8.794714,25,70,0,12001
13.341873,23,73,0,10601
10.670847,28,69,0,12457
8.843998,35,63,0,14155
7.427044,49,50,0,20543
11.701285,39,61,0,17091
8.093160,42,59,0,18072
17.072322,41,62,0,21665
7.674616,66,38,0,27734
14.054721,76,29,0,29072
22.140959,74,32,0,29216
15.615791,55,52,0,26271
20.376454,54,54,0,27070
24.265268,39,70,0,22559
19.381508,55,55,0,27226
19.910082,42,69,0,23852
17.286668,25,87,0,18701
14.248750,20,92,0,13733
21.509118,17,96,0,12837
20.812624,28,87,0,21001
19.546593,24,91,0,18864
7.991542,53,64,0,28974
12.384931,60,58,0,30830
9.508869,63,56,0,32003
18.324507,66,54,0,32758
13.726777,70,51,0,33403
15.699431,69,53,0,33328
34.984914,64,59,0,32635
23.798860,64,60,0,32269
18.412104,54,71,0,30242
23.349437,67,59,0,31848
14.669906,47,82,0,28256
24.894987,12,91,0,7408
20.285404,9,79,0,4631
0.000000,12,77,0,4776
0.000000,11,77,0,3362
12.411398,12,77,0,3874
0.000000,4,11,0,1614
0.000000,7,19,0,2386
16.931594,7,20,0,2626
0.000000,7,18,0,2869
2.803221,7,21,0,2798
0.000000,7,37,0,3128
0.000000,14,80,0,5040
3.368854,25,121,0,14013
2.403868,39,109,0,23883
2.550735,57,92,0,29888
1.425318,42,108,0,27018
1.958057,53,98,0,29282
1.769745,71,81,0,34538
1.131735,60,83,0,29809
3.009028,102,52,0,38528
4.547186,21881,32753,32753,2139095039
3.187547,754323904,40,39,62
26.176174,21882,1073741824,1073741824,62
32.669371,727025216,-409408544,-409512480,-1
16.494875,21882,32753,32753,2139095039
27.446912,692899296,41,40,63
18.684494,21882,1073741824,1073741824,85
18.454335,702274048,-409700864,-409409280,-1
32.855712,21882,32753,32753,2139095039
26.302375,692685600,42,41,64
