#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
1.265151,0.040931,0.700186,0.003310,0.003310,2.013022
2.960396,0.172176,2.792572,0.000881,0.000881,5.927178
4.750176,0.128552,15.791267,0.136811,0.136811,34.463701
4.342697,0.172556,3.913332,0.338683,0.338683,21.521456
4.355337,0.123990,7.267825,0.378455,0.378455,26.444565
5.253252,0.097341,4.590558,0.545603,0.545603,25.277074
5.550945,0.113407,6.664996,0.850191,0.850191,34.741074
6.031960,0.118751,7.630051,0.798272,0.798272,33.419004
6.409509,0.123409,9.490361,0.821757,0.821757,41.423001
7.011302,0.097215,2208.671106,1.304790,1.304790,2272.379517
4.036338,1.012178,614.831573,0.784395,0.784395,810.071023
3.475637,0.954021,767.142091,1.509987,1.509987,846.438645
3.405136,1.130279,236.192251,0.856422,0.856422,273.039465
3.491949,0.455415,847.321194,0.916617,0.916617,893.627217
5.314700,0.899321,900.844858,1.075595,1.075595,961.705247
4.251385,1.069368,748.199570,2.156578,2.156578,890.183942
4.706767,1.256181,955.270955,1.140174,1.140174,1013.029005
4.409214,0.830784,729.442659,1.962968,1.962968,899.782594
5.256652,1.295011,733.872008,3.457583,3.457583,933.850396
5.402651,1.427890,1000.829897,1.452388,1.452388,1081.953451
4.782028,1.066554,1023.558399,1.449424,1.449424,1100.969570
4.835211,0.948045,729.026778,3.362573,3.362573,905.767316
5.560917,1.102988,740.918761,4.204094,4.204094,911.336083
5.115167,1.065557,954.872407,1.277538,1.277538,1031.049941
7.541627,1.060833,1013.010396,1.938532,1.938532,1093.448100
6.708891,1.268316,880.820810,4.102515,4.102515,991.331568
6.099848,1.683608,954.716780,2.186824,2.186824,1039.390560
6.188122,0.979828,779.944356,5.157307,5.157307,963.967319
6.564061,1.203702,774.826663,4.095106,4.095106,999.107804
7.163843,1.420437,777.270452,4.074840,4.074840,1044.426799
6.065857,3.167996,774.658845,3.849030,3.849030,995.442812
6.651107,1.086468,1016.200408,3.770156,3.770156,1131.642317
5.672194,1.261930,831.407445,5.289619,5.289619,1111.318454
8.512229,1.618582,907.543100,5.706315,5.706315,1066.030788
7.352312,1.385390,580.422257,4.824266,4.824266,888.658976
7.773160,0.786520,577.886925,4.222137,4.222137,939.897971
7.970448,0.951995,681.159532,5.105585,5.105585,975.635046
8.498079,1.067034,539.580404,6.076203,6.076203,853.493334
9.073801,1.140160,643.265024,6.398976,6.398976,859.132674
7.636362,1.155546,1003.958098,5.558126,5.558126,1092.256973
7.523883,1.042075,913.898249,3.546806,3.546806,1017.548486
6.534813,0.635215,729.817517,5.418468,5.418468,920.110771
6.457724,0.949224,689.593199,6.922706,6.922706,873.112414
5.593518,1.006405,673.163542,7.322514,7.322514,841.235275
4.927261,1.035364,680.220885,6.410583,6.410583,862.455110
6.998607,1.518877,493.943204,7.008344,7.008344,696.542307
5.803606,0.729830,415.084841,7.681121,7.681121,744.152353
8.142250,0.501562,611.819147,6.097891,6.097891,834.147544
6.353601,0.745556,614.147229,7.790544,7.790544,873.680499
6.350594,0.903048,614.815024,7.148335,7.148335,879.302887
6.568229,0.953535,656.345868,7.576815,7.576815,943.251930
6.043030,1.142316,689.221167,12.653556,12.653556,915.650932
6.495898,1.187860,666.658060,8.209924,8.209924,982.471052
5.058711,1.239788,626.306614,7.832219,7.832219,968.968962
5.232370,4.816219,626.829406,17.791556,17.791556,1024.265236
5.264342,4.812500,684.573273,7.679695,7.679695,1034.698360
6.307734,1.207229,705.607918,12.025651,12.025651,1089.446636
4.498901,0.989476,718.919256,12.683371,12.683371,1110.136318
4.384336,1.118553,747.062045,6.378385,6.378385,1111.050715
3.694779,0.963461,731.095211,6.189154,6.189154,1089.763765
3.824446,1.021842,585.877584,6.803996,6.803996,980.768289
7.669224,0.995806,574.714741,8.120107,8.120107,1007.169661
7.265791,1.213670,610.912061,10.142513,10.142513,823.240144
3.431937,1.178478,690.394599,8.013060,8.013060,883.288610
5.468417,1.036821,1066.352681,0.000000,0.000000,1072.859509
5.330968,1.129291,555.626127,15.473263,15.473263,974.919823
10.846725,1.909907,556.158226,6.076068,6.076068,1134.813970
4.078432,0.760761,631.647266,10.570041,10.570041,1071.664877
10.834735,1.356318,662.292127,13.413295,13.413295,1099.829757
4.404116,1.063636,569.225368,13.155469,13.155469,1079.718641
3.468625,0.931708,446.462996,6.438652,6.438652,887.857757
7.178787,0.714243,458.877484,5.781137,5.781137,895.896570
1.464427,0.774507,77.407199,4.723086,4.723086,118.907988
