# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548339959.12786 -0.659399 -1.33594 1.5663 0.19119 0.101081 0.00631982 -0.976314
1548339959.16115 -0.659395 -1.33527 1.56633 0.191089 0.100814 0.0062643 -0.976362
1548339959.19453 -0.659143 -1.33407 1.56648 0.196764 0.0993468 0.00558193 -0.975389
1548339959.22750 -0.65927 -1.33354 1.56707 0.196457 0.0984841 0.00505 -0.975541
1548339959.26098 -0.659416 -1.33316 1.5676 0.197197 0.0966962 0.00479516 -0.975572
1548339959.29429 -0.65973 -1.33237 1.5682 0.198391 0.0963861 0.00306108 -0.975367
1548339959.32786 -0.660082 -1.33164 1.56874 0.199245 0.0958932 0.00232467 -0.975244
1548339959.36115 -0.660542 -1.33096 1.5692 0.19933 0.096445 0.00190068 -0.975173
1548339959.39421 -0.660999 -1.3304 1.5697 0.199941 0.098365 0.00133029 -0.974857
1548339959.42757 -0.661737 -1.33041 1.57049 0.196708 0.101036 4.856e-05 -0.975242
1548339959.46114 -0.662253 -1.33102 1.57136 0.192691 0.101326 0.000439109 -0.976014
1548339959.49456 -0.662269 -1.33127 1.572 0.19253 0.101299 5.71313e-05 -0.976049
1548339959.52799 -0.662094 -1.3317 1.57254 0.191944 0.100761 -0.00260268 -0.976216
1548339959.56105 -0.662075 -1.33131 1.57296 0.192178 0.100184 -0.00261422 -0.976229
1548339959.59441 -0.661799 -1.33108 1.5733 0.191262 0.099181 -0.00324459 -0.97651
1548339959.62780 -0.661519 -1.33017 1.57342 0.190745 0.0993447 -0.00698819 -0.976575
1548339959.66121 -0.661525 -1.32886 1.57358 0.191469 0.0985116 -0.00764222 -0.976512
1548339959.69444 -0.661802 -1.32744 1.57377 0.191142 0.0977392 -0.00759011 -0.976655
1548339959.72802 -0.662155 -1.32593 1.57386 0.191604 0.0989546 -0.0125086 -0.976391
1548339959.76126 -0.662176 -1.32394 1.5738 0.19282 0.100179 -0.0144561 -0.976
1548339959.79446 -0.662208 -1.32285 1.57376 0.192816 0.0991968 -0.0131787 -0.976119
1548339959.82787 -0.662746 -1.32156 1.57382 0.191782 0.0991925 -0.0164052 -0.976274
1548339959.86112 -0.662947 -1.32025 1.57376 0.192269 0.0988077 -0.0153162 -0.976235
1548339959.89441 -0.662747 -1.31968 1.57357 0.192174 0.0968074 -0.0133389 -0.976483
1548339959.92788 -0.662878 -1.31887 1.57334 0.191249 0.0979748 -0.0158305 -0.976511
1548339959.96086 -0.662703 -1.31799 1.57271 0.189088 0.0967037 -0.0170311 -0.977038
1548339959.99426 -0.662359 -1.3173 1.57187 0.187584 0.0962308 -0.0148452 -0.977411
1548339960.02765 -0.662087 -1.31643 1.57072 0.18751 0.0949348 -0.0149615 -0.97755
1548339960.06087 -0.661982 -1.31573 1.56959 0.185277 0.093486 -0.0140044 -0.978129
1548339960.09444 -0.661885 -1.31477 1.56813 0.184537 0.0922413 -0.0137398 -0.978391
1548339960.12783 -0.662349 -1.31418 1.56706 0.184159 0.0932224 -0.0150507 -0.97835
1548339960.16113 -0.662704 -1.31309 1.56593 0.184434 0.0933634 -0.0138255 -0.978303
1548339960.19431 -0.662754 -1.31178 1.56487 0.186687 0.093265 -0.0111271 -0.977919
1548339960.22776 -0.663061 -1.31103 1.56419 0.183943 0.0940531 -0.0103074 -0.978373
1548339960.26111 -0.663213 -1.30985 1.56364 0.182984 0.0933885 -0.0091725 -0.978627
1548339960.29448 -0.663226 -1.30885 1.56333 0.18154 0.09411 -0.00862561 -0.978832
1548339960.32806 -0.662873 -1.30751 1.56283 0.180819 0.0944412 -0.00682475 -0.978948
1548339960.36126 -0.661848 -1.30654 1.56243 0.18129 0.0931564 -0.005045 -0.978995
1548339960.39436 -0.661147 -1.30557 1.56193 0.178667 0.0931664 -0.00375552 -0.979482
1548339960.42798 -0.660281 -1.3052 1.5611 0.17849 0.0911906 -0.0052902 -0.979693
1548339960.46077 -0.659063 -1.30457 1.55976 0.180398 0.0884002 -0.00166917 -0.979612
1548339960.49431 -0.658358 -1.305 1.55899 0.175587 0.0877279 -0.00163528 -0.980546
1548339960.52789 -0.65772 -1.30546 1.55814 0.173245 0.0868386 -0.000379073 -0.981043
1548339960.56118 -0.657049 -1.30576 1.55712 0.17257 0.0864592 0.00200456 -0.981193
1548339960.59436 -0.657156 -1.30684 1.55694 0.169523 0.0872366 0.000607853 -0.981657
1548339960.62772 -0.657504 -1.30717 1.55699 0.169536 0.0871741 -9.49665e-05 -0.981661
1548339960.66115 -0.65777 -1.3076 1.5576 0.171142 0.0878698 -0.000594828 -0.98132
1548339960.69457 -0.65763 -1.30866 1.55856 0.174529 0.089412 -0.00286873 -0.98058
1548339960.72746 -0.657457 -1.30979 1.56 0.176847 0.0917917 -0.00486561 -0.979937
1548339960.76101 -0.65714 -1.31088 1.56196 0.181894 0.0917746 -0.00580796 -0.979009
1548339960.79431 -0.657489 -1.31243 1.56482 0.18417 0.0934355 -0.00820149 -0.978409
1548339960.82773 -0.658264 -1.31429 1.56814 0.184703 0.0947123 -0.0094366 -0.978175
1548339960.86112 -0.658662 -1.31622 1.57126 0.188313 0.0953913 -0.00928864 -0.977421
1548339960.89439 -0.659392 -1.31805 1.57415 0.188867 0.0978009 -0.00993544 -0.97707
1548339960.92758 -0.659586 -1.32008 1.57634 0.192483 0.0983341 -0.0115112 -0.976293
1548339960.96095 -0.660158 -1.32142 1.57829 0.194082 0.100199 -0.0109566 -0.975793
1548339960.99448 -0.6607 -1.32255 1.57988 0.196135 0.101895 -0.0129639 -0.975182
1548339961.02780 -0.661456 -1.32392 1.58131 0.19685 0.103371 -0.0147823 -0.974857
1548339961.06110 -0.662157 -1.32523 1.5829 0.197317 0.105129 -0.0133551 -0.974595
1548339961.09456 -0.662815 -1.32635 1.58427 0.196901 0.106645 -0.0126105 -0.974524
1548339961.12792 -0.663684 -1.32741 1.58566 0.198846 0.106248 -0.0133317 -0.974163
1548339961.16127 -0.66429 -1.32859 1.58699 0.198489 0.107849 -0.0118846 -0.974079
1548339961.19466 -0.664514 -1.32959 1.58775 0.198405 0.108203 -0.010168 -0.974076
1548339961.22801 -0.664649 -1.33119 1.58826 0.198798 0.107317 -0.0115736 -0.974078
1548339961.26126 -0.664551 -1.33246 1.58798 0.200059 0.106367 -0.0107356 -0.973934
1548339961.29460 -0.664505 -1.33382 1.5874 0.199185 0.106684 -0.0102081 -0.974084
1548339961.32806 -0.664277 -1.33507 1.58614 0.200002 0.105714 -0.00995975 -0.974025
1548339961.36141 -0.664481 -1.33678 1.58485 0.197284 0.105811 -0.00868786 -0.974581
1548339961.39463 -0.664431 -1.33807 1.58292 0.195426 0.103552 -0.00844163 -0.9752
1548339961.42758 -0.664453 -1.33944 1.58111 0.192985 0.103931 -0.00701467 -0.975657
1548339961.46089 -0.664244 -1.34037 1.57889 0.190845 0.101715 -0.00498785 -0.976324
1548339961.49424 -0.664116 -1.34097 1.57696 0.189035 0.100207 -0.00233442 -0.976841
1548339961.52751 -0.664112 -1.34106 1.57506 0.188726 0.0993032 -0.000964783 -0.976996
1548339961.56097 -0.663963 -1.34126 1.57321 0.187311 0.0970175 -5.89817e-05 -0.977498
1548339961.59460 -0.663893 -1.34159 1.57181 0.184965 0.0959425 0.00158498 -0.978049
1548339961.62774 -0.664135 -1.34061 1.57046 0.182353 0.0970327 0.00361761 -0.978427
1548339961.66107 -0.664082 -1.33993 1.5693 0.182464 0.0961747 0.00463542 -0.978486
1548339961.69448 -0.663796 -1.339 1.56851 0.180168 0.09542 0.00416304 -0.978988
1548339961.72787 -0.66309 -1.33754 1.56759 0.179423 0.0949472 0.00466891 -0.979168
1548339961.76098 -0.662234 -1.33605 1.5666 0.179801 0.0952286 0.00429508 -0.979073
1548339961.79441 -0.661041 -1.33487 1.56555 0.181947 0.0926672 0.0022365 -0.97893
1548339961.82808 -0.659777 -1.33271 1.56453 0.183101 0.0912646 0.00236381 -0.978846
1548339961.86088 -0.65917 -1.33068 1.56372 0.180396 0.0920062 0.00177524 -0.97928
1548339961.89474 -0.658351 -1.32834 1.56271 0.181448 0.0921158 0.00252845 -0.979074
1548339961.92780 -0.657986 -1.32669 1.56198 0.179422 0.0920128 0.00178845 -0.979458
1548339961.96118 -0.657181 -1.32459 1.56086 0.183379 0.0899444 0.000295537 -0.978919
1548339961.99429 -0.656802 -1.32235 1.55976 0.184924 0.0914359 -0.00160922 -0.978489
1548339962.02780 -0.656537 -1.32081 1.55892 0.182967 0.091998 -0.00204922 -0.978803
1548339962.06131 -0.655934 -1.3191 1.55789 0.183468 0.0923932 -0.00258488 -0.978671
1548339962.09453 -0.655369 -1.31732 1.55666 0.182395 0.0926302 -0.005285 -0.978838
1548339962.12775 -0.654614 -1.31565 1.55526 0.183468 0.0925011 -0.00607306 -0.978645
1548339962.16127 -0.653817 -1.31406 1.5539 0.184082 0.092706 -0.00767364 -0.978499
1548339962.19450 -0.652869 -1.31264 1.55234 0.182204 0.0929769 -0.011596 -0.978786
1548339962.22761 -0.65175 -1.31147 1.55069 0.183382 0.0915753 -0.0130872 -0.97868
1548339962.26096 -0.650876 -1.31059 1.54922 0.182657 0.0932923 -0.0135689 -0.978647
1548339962.29402 -0.649922 -1.31003 1.54796 0.181507 0.0938188 -0.0196905 -0.978706
1548339962.32748 -0.648524 -1.3099 1.54701 0.181938 0.0943609 -0.0223342 -0.978517
1548339962.36104 -0.646788 -1.31014 1.5458 0.179243 0.0941352 -0.0255874 -0.978956
1548339962.39458 -0.644916 -1.31037 1.54457 0.177923 0.0957732 -0.0298918 -0.978916
1548339962.42783 -0.642723 -1.31021 1.54308 0.178612 0.0945986 -0.031646 -0.97885
1548339962.46104 -0.64089 -1.31037 1.54183 0.175157 0.094045 -0.0359286 -0.97938
1548339962.49425 -0.638879 -1.31033 1.54067 0.17633 0.0939505 -0.0385148 -0.97908
1548339962.52770 -0.636967 -1.3103 1.53956 0.174227 0.0910975 -0.0399875 -0.979667
1548339962.56121 -0.635403 -1.30978 1.53852 0.175061 0.091291 -0.0401558 -0.979493
1548339962.59455 -0.634307 -1.30942 1.53753 0.173514 0.0899868 -0.0427391 -0.97978
1548339962.62772 -0.633709 -1.30876 1.53685 0.172674 0.0908981 -0.0436594 -0.979804
1548339962.66134 -0.633351 -1.30808 1.53614 0.17182 0.0907451 -0.0470864 -0.979809
1548339962.69460 -0.632761 -1.30746 1.53539 0.17124 0.0921893 -0.049953 -0.979634
1548339962.72797 -0.63244 -1.30693 1.53474 0.172225 0.0937295 -0.0506361 -0.97928
1548339962.76143 -0.632543 -1.30644 1.53407 0.1743 0.0954811 -0.0534071 -0.978596
1548339962.79464 -0.632645 -1.30639 1.5336 0.173851 0.0980505 -0.0558586 -0.978285
1548339962.82790 -0.632788 -1.30648 1.53326 0.173883 0.0998279 -0.0571566 -0.978025
1548339962.86126 -0.633417 -1.30656 1.53309 0.173505 0.101698 -0.0588032 -0.977802
1548339962.89456 -0.633907 -1.30656 1.5329 0.174966 0.10372 -0.0601922 -0.977244
1548339962.92798 -0.633777 -1.30687 1.53263 0.175717 0.10481 -0.0601486 -0.976996
1548339962.96102 -0.632815 -1.30728 1.53252 0.17486 0.106793 -0.0603034 -0.976925
1548339962.99458 -0.631121 -1.3074 1.53241 0.174996 0.106982 -0.0615968 -0.976799
1548339963.02777 -0.629395 -1.30737 1.53223 0.175526 0.105784 -0.0615901 -0.976835
1548339963.06103 -0.626724 -1.30764 1.53245 0.174514 0.106585 -0.0628984 -0.976846
1548339963.09431 -0.624086 -1.30798 1.5332 0.176182 0.10395 -0.064006 -0.976759
1548339963.12776 -0.620964 -1.30842 1.53401 0.175001 0.103334 -0.0654754 -0.976939
1548339963.16117 -0.618328 -1.30889 1.53533 0.17586 0.101775 -0.067376 -0.976819
1548339963.19459 -0.615894 -1.30914 1.53673 0.177565 0.101025 -0.0708732 -0.976341
1548339963.22770 -0.613663 -1.30899 1.53845 0.17844 0.100789 -0.071091 -0.97619
1548339963.26104 -0.610953 -1.30876 1.54019 0.180493 0.102322 -0.0724472 -0.975553
1548339963.29410 -0.608623 -1.30828 1.5419 0.182115 0.103508 -0.075903 -0.974864
1548339963.32786 -0.606444 -1.30758 1.54354 0.183091 0.103314 -0.0779501 -0.97454
1548339963.36116 -0.604398 -1.30691 1.54517 0.184975 0.104318 -0.0790942 -0.973985
1548339963.39453 -0.602672 -1.30681 1.54711 0.186248 0.106255 -0.0821733 -0.973277
1548339963.42776 -0.600932 -1.30689 1.54863 0.187449 0.106306 -0.0806754 -0.973167
1548339963.46078 -0.598643 -1.30708 1.54985 0.188388 0.106072 -0.0816784 -0.972927
1548339963.49444 -0.596743 -1.30761 1.55103 0.189514 0.106505 -0.0859268 -0.972295
1548339963.52785 -0.594474 -1.30888 1.55218 0.189464 0.106979 -0.0907293 -0.971816
1548339963.56108 -0.592058 -1.31054 1.55356 0.188842 0.108943 -0.0967534 -0.971138
1548339963.59462 -0.589141 -1.31235 1.55484 0.188351 0.108977 -0.10146 -0.970749
1548339963.62793 -0.586143 -1.3147 1.55591 0.186858 0.107778 -0.108669 -0.970391
1548339963.66117 -0.583383 -1.31695 1.55701 0.185634 0.107786 -0.115232 -0.969868
1548339963.69461 -0.580687 -1.3195 1.55787 0.185829 0.106813 -0.116692 -0.969764
1548339963.72768 -0.577844 -1.32235 1.5584 0.184496 0.106084 -0.124224 -0.969163
1548339963.76140 -0.575128 -1.32495 1.55884 0.182872 0.106186 -0.132481 -0.968365
1548339963.79440 -0.572702 -1.32771 1.559 0.182961 0.104064 -0.134022 -0.968367
1548339963.82787 -0.570595 -1.33069 1.55977 0.178684 0.101673 -0.141442 -0.968364
1548339963.86094 -0.569494 -1.33275 1.56076 0.180506 0.105734 -0.138848 -0.967966
1548339963.89446 -0.568788 -1.3346 1.56177 0.181752 0.106259 -0.139481 -0.967585
1548339963.92791 -0.568285 -1.33617 1.56321 0.178261 0.106934 -0.144208 -0.967467
1548339963.96074 -0.568491 -1.3371 1.56459 0.181464 0.110775 -0.147138 -0.965997
1548339963.99442 -0.569032 -1.3378 1.56618 0.185214 0.11408 -0.145303 -0.965178
1548339964.02752 -0.569303 -1.33864 1.56831 0.187293 0.115912 -0.146818 -0.964329
1548339964.06110 -0.570014 -1.3391 1.57045 0.187301 0.120347 -0.151733 -0.963022
1548339964.09458 -0.570162 -1.34006 1.57248 0.189354 0.119162 -0.154664 -0.962302
1548339964.12782 -0.570001 -1.34093 1.57437 0.186867 0.119956 -0.151658 -0.963167
1548339964.16096 -0.569721 -1.34171 1.57584 0.191967 0.123691 -0.151571 -0.961704
1548339964.19463 -0.568542 -1.34331 1.57802 0.186674 0.118367 -0.155881 -0.962727
1548339964.22808 -0.567467 -1.34422 1.5791 0.186748 0.118457 -0.152698 -0.963211
1548339964.26108 -0.566196 -1.3447 1.57953 0.188547 0.118113 -0.15428 -0.962651
1548339964.29463 -0.565164 -1.34542 1.58 0.189202 0.116178 -0.155351 -0.962586
1548339964.32796 -0.56418 -1.34623 1.58005 0.190349 0.114519 -0.154511 -0.962694
1548339964.39471 -0.56268 -1.34808 1.57979 0.188478 0.110248 -0.154897 -0.963498
1548339964.42794 -0.562504 -1.34933 1.57956 0.188602 0.108093 -0.150962 -0.964342
1548339964.46115 -0.562579 -1.35049 1.57939 0.187884 0.106874 -0.149278 -0.96488
1548339964.49421 -0.562683 -1.35176 1.57931 0.186634 0.106254 -0.149082 -0.965222
1548339964.52804 -0.562958 -1.353 1.57922 0.187461 0.103576 -0.146728 -0.965713
1548339964.59453 -0.564055 -1.35524 1.57929 0.184665 0.098865 -0.146176 -0.966829
1548339964.62773 -0.565178 -1.35589 1.57894 0.186136 0.100104 -0.138225 -0.967588
1548339964.66110 -0.566087 -1.35694 1.57891 0.183089 0.0965358 -0.135984 -0.968849
1548339964.69454 -0.567216 -1.35709 1.578 0.183224 0.0992708 -0.130316 -0.969326
1548339964.72788 -0.567912 -1.35728 1.57664 0.185131 0.0964945 -0.127703 -0.969591
1548339964.76120 -0.568168 -1.35781 1.5751 0.181464 0.0935481 -0.124025 -0.97105
1548339964.79442 -0.568624 -1.35855 1.57298 0.179611 0.0924949 -0.122327 -0.97171
1548339964.82777 -0.568711 -1.35918 1.5707 0.178036 0.0900474 -0.118485 -0.972706
1548339964.86101 -0.568653 -1.35969 1.56818 0.175136 0.0867776 -0.115483 -0.973889
1548339964.89450 -0.568811 -1.36003 1.56569 0.171618 0.0842677 -0.112589 -0.975074
1548339964.92781 -0.569411 -1.35999 1.56339 0.170873 0.0817011 -0.108696 -0.975865
1548339964.96077 -0.570648 -1.35936 1.5615 0.169367 0.0797924 -0.104907 -0.9767
1548339964.99419 -0.572333 -1.35802 1.55971 0.169318 0.078207 -0.100769 -0.977272
1548339965.02778 -0.574197 -1.35645 1.55806 0.167986 0.0769115 -0.0966773 -0.978018
1548339965.06138 -0.575943 -1.35452 1.5564 0.168995 0.0751082 -0.0926448 -0.978374
1548339965.09468 -0.577659 -1.35252 1.55471 0.169792 0.073889 -0.0895964 -0.978613
1548339965.12807 -0.57897 -1.35082 1.55279 0.168946 0.0718071 -0.0850294 -0.979322
1548339965.16126 -0.580605 -1.3491 1.55073 0.16795 0.0701103 -0.08254 -0.979829
1548339965.19464 -0.582243 -1.34706 1.54854 0.169948 0.0685715 -0.0781802 -0.979951
