#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.003829,3,1,0,2050
0.001162,4,1,0,2534
0.191029,5,1,0,3463
0.290611,6,1,0,4430
0.682437,7,1,0,5700
0.656872,8,1,0,5943
0.701888,9,1,0,6617
1.074603,9,1,0,7311
1.032599,10,1,0,7448
1.305037,11,1,0,8711
0.957604,10,3,0,7761
1.409037,10,4,0,7010
1.909023,10,5,0,8375
1.400467,11,5,0,8256
2.307337,11,6,0,9417
1.612019,12,6,0,8179
1.993289,12,7,0,8154
1.228548,13,7,0,9841
1.563438,14,7,0,11224
2.123363,15,7,0,11915
1.800544,15,8,0,12368
3.957406,16,8,0,12789
3.388745,16,9,0,12855
4.627512,16,10,0,12779
5.464456,17,10,0,13054
5.132769,17,11,0,12546
5.187941,19,10,0,12988
5.549298,18,12,0,12209
5.926832,17,14,0,10702
6.147900,16,13,0,9086
5.877788,16,12,0,9073
9.559770,15,14,0,8216
11.070403,15,15,0,7663
5.422947,15,16,0,8034
3.197443,12,18,0,6505
3.251271,11,20,0,6416
2.933822,12,20,0,6774
2.811003,13,20,0,7144
3.948664,14,20,0,7526
7.397626,13,21,0,6612
8.330702,13,22,0,6139
4.486313,9,27,0,4178
7.976660,11,26,0,4912
3.912710,11,27,0,4796
4.465176,12,27,0,4936
4.350861,13,27,0,5147
2.674960,13,21,0,4787
4.644543,14,21,0,4861
2.933465,7,24,0,2462
2.169197,15,22,0,4594
1.819309,13,32,0,4392
2.340856,12,25,0,3436
3.306190,19,28,0,5460
3.036815,14,21,0,3457
3.371230,13,23,0,3193
2.335532,14,25,0,3272
1.927375,17,21,0,3676
3.558088,15,20,0,3181
1.771025,12,24,0,2683
1.730370,19,22,0,3655
6.500172,21,21,0,3851
1.640214,21,22,0,3717
2.306074,23,21,0,3967
2.373015,21,20,0,3553
2.589525,22,20,0,3647
2.280892,18,23,0,3269
1.900045,20,23,0,3829
1.940631,23,21,0,4212
2.532057,21,23,0,3889
2.353453,20,25,0,3735
1.877066,20,26,0,3847
2.482330,20,27,0,3887
2.703981,19,29,0,3895
1.757858,22,27,0,4365
2.228639,22,28,0,4333
2.744972,24,27,0,4783
1.666411,20,32,0,4373
3.177230,17,33,0,3986
4.801111,22,32,0,4842
2.636688,21,34,0,5085
7.839205,21,34,0,4805
9.170981,18,27,0,3979
8.173026,15,30,0,3377
2.787883,11,35,0,2599
8.158151,6,37,0,1826
1.999518,7,37,0,2204
0.859605,8,37,0,2000
0.925521,8,38,0,2651
0.844513,10,37,0,3592
1.159225,11,37,0,4251
2.254280,12,37,0,4743
8.574168,12,36,0,5155
2.108385,12,37,0,5595
1.978365,13,37,0,5909
9.584662,14,37,0,6457
2.564331,13,39,0,5886
2.753201,16,37,0,6410
2.829219,14,22,0,6378
2.694002,14,23,0,5959
2.105204,15,23,0,6142
2.365613,17,35,0,6329
2.619573,17,23,0,6565
2.359420,16,25,0,6474
4.332054,17,25,0,6906
2.195945,13,18,0,5599
4.246920,13,17,0,5547
3.435417,14,17,0,6599
3.111942,15,17,0,6735
2.442907,15,18,0,6903
5.060177,15,17,0,7207
4.051826,16,17,0,7466
13.981780,17,17,0,8405
5.703021,16,19,0,8713
5.690319,17,19,0,9203
6.934107,20,17,0,9946
5.581013,20,18,0,9700
5.271071,21,18,0,10185
17.783748,23,17,0,10841
7.270919,22,19,0,10705
18.993370,23,19,0,10754
9.006935,22,20,0,10585
9.241398,24,19,0,10708
18.522417,13,19,0,7654
5.005999,17,17,0,9778
4.430328,16,18,0,9059
17.786970,15,20,0,7577
6.425619,11,22,0,5504
4.730771,12,20,0,6452
3.871722,14,19,0,6323
3.315434,13,18,0,6562
2.135303,10,21,0,5671
2.577504,15,18,0,7128
2.596871,13,20,0,7229
5.084663,13,16,0,7026
7.122593,13,17,0,7506
4.558116,12,14,0,7004
7.663117,12,11,0,6577
5.784572,13,13,0,6411
14.551978,13,16,0,6200
5.463252,11,15,0,6151
2.273799,1537667011,1537667011,2081100633,40
2.503403,1073612918,1073612918,1078579013,178
