#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
1.136931,0.039863,0.680215,0.003829,0.003829,1.864605
11.279513,0.182535,1.833457,0.001162,0.001162,13.298188
8.844118,0.199578,5.545696,0.191029,0.191029,25.614981
7.834667,0.208657,6.201836,0.290611,0.290611,26.637152
4.382062,0.156388,1534.621029,0.682437,0.682437,1560.986765
3.341933,0.293247,141.053175,0.656872,0.656872,166.670538
3.841909,0.323861,298.158456,0.701888,0.701888,334.588055
3.762286,0.751662,486.923338,1.074603,1.074603,653.473079
2.138114,0.541566,366.608199,1.032599,1.032599,405.595785
3.635694,0.640599,389.431432,1.305037,1.305037,434.372788
4.159735,1.089336,408.834408,0.957604,0.957604,453.207206
3.725757,0.665085,441.316135,1.409037,1.409037,497.771102
3.478429,1.793979,351.186189,1.909023,1.909023,395.873572
4.737510,1.062780,329.614356,1.400467,1.400467,374.741998
5.153262,0.553412,385.464984,2.307337,2.307337,438.047865
5.500040,1.238504,611.403504,1.612019,1.612019,872.400608
3.785326,0.822200,469.159053,1.993289,1.993289,886.811097
4.791213,2.230945,402.652848,1.228548,1.228548,462.892269
5.598799,1.791987,394.506632,1.563438,1.563438,448.028295
6.139083,1.107305,410.330504,2.123363,2.123363,480.130136
5.851811,3.209045,975.702865,1.800544,1.800544,1049.301348
5.614527,1.701984,752.338761,3.957406,3.957406,998.856985
5.283966,1.628236,989.102690,3.388745,3.388745,1074.885537
4.982527,1.971494,746.240185,4.627512,4.627512,1025.118126
5.697608,1.999270,738.581708,5.464456,5.464456,1075.076138
5.452414,4.721142,763.058344,5.132769,5.132769,1013.487938
4.166092,1.550513,717.387184,5.187941,5.187941,1030.856235
4.048134,1.447473,709.864427,5.549298,5.549298,909.740635
3.827045,1.422629,694.022911,5.926832,5.926832,940.934388
4.866776,1.868154,593.534403,6.147900,6.147900,844.373268
3.855266,1.661552,547.366097,5.877788,5.877788,786.952361
3.601551,1.479973,624.046936,9.559770,9.559770,787.341232
3.969827,1.262304,598.102233,11.070403,11.070403,850.024740
2.445414,0.923157,621.154281,5.422947,5.422947,795.316928
3.016097,1.208652,353.107655,3.197443,3.197443,427.589891
4.159746,1.065932,407.492849,3.251271,3.251271,474.424506
3.899944,0.877961,305.310783,2.933822,2.933822,365.244462
4.553613,0.890033,304.707718,2.811003,2.811003,361.064913
4.574983,0.869828,310.287842,3.948664,3.948664,368.197425
3.270671,0.607500,274.204540,7.397626,7.397626,341.436672
4.494636,0.658186,349.297508,8.330702,8.330702,424.606392
4.145703,0.636425,370.607015,4.486313,4.486313,437.849404
3.646924,0.646388,274.440474,7.976660,7.976660,343.265016
3.079509,0.501101,165.442013,3.912710,3.912710,214.309943
3.490835,0.551308,199.294113,4.465176,4.465176,246.448852
3.417971,0.517306,203.838657,4.350861,4.350861,261.085041
3.498937,0.533541,260.627199,2.674960,2.674960,314.781156
4.066368,0.555939,257.901883,4.644543,4.644543,310.891457
3.543017,0.496175,147.047248,2.933465,2.933465,195.051874
7.172434,0.282726,86.151153,2.169197,2.169197,126.220503
3.073967,0.288839,60.202527,1.819309,1.819309,79.632970
5.548786,0.289952,58.892785,2.340856,2.340856,92.821332
3.714625,0.308697,151.562140,3.306190,3.306190,192.342415
5.288651,0.202522,147.782325,3.036815,3.036815,181.886673
12.008408,0.200570,161.279882,3.371230,3.371230,228.359570
3.264376,0.199715,66.590595,2.335532,2.335532,94.873250
3.155400,0.207006,53.993362,1.927375,1.927375,74.514933
10.622573,0.197823,49.699503,3.558088,3.558088,88.153511
2.314416,0.096472,35.504117,1.771025,1.771025,60.040470
3.557752,0.119336,58.426502,1.730370,1.730370,82.522954
7.978234,0.101056,50.169977,6.500172,6.500172,77.257248
2.830508,0.105068,4.592559,1.640214,1.640214,27.647610
3.217159,0.100150,8.584206,2.306074,2.306074,46.647999
2.508677,0.068541,6.860168,2.373015,2.373015,46.456006
10.485192,0.076317,8.144736,2.589525,2.589525,65.855567
16.647201,0.066255,12.214361,2.280892,2.280892,64.561153
6.591023,0.069884,18.680158,1.900045,1.900045,55.886639
2.506017,0.074239,72.885353,1.940631,1.940631,98.645722
9.046682,0.170229,69.168405,2.532057,2.532057,105.034943
12.401732,0.507837,76.557395,2.353453,2.353453,120.408102
12.885879,0.270644,51.619308,1.877066,1.877066,90.128065
3.255921,0.162914,55.049486,2.482330,2.482330,82.920343
3.234100,0.161230,64.348487,2.703981,2.703981,96.783199
3.128788,0.145129,68.531309,1.757858,1.757858,97.939383
9.490573,0.162983,65.008383,2.228639,2.228639,119.659061
33.525755,0.220846,125.084618,2.744972,2.744972,191.700800
7.198554,0.144440,59.448166,1.666411,1.666411,87.996297
20.921070,0.234634,87.486211,3.177230,3.177230,150.449359
7.446121,0.197668,67.936100,4.801111,4.801111,110.794685
4.893541,0.248916,113.246393,2.636688,2.636688,145.612288
12.417700,0.344684,104.059269,7.839205,7.839205,158.200231
12.799617,0.198672,117.043255,9.170981,9.170981,167.069214
10.194023,0.330112,77.258155,8.173026,8.173026,121.082561
12.687118,0.384714,141.428729,2.787883,2.787883,176.544841
3.471601,0.418013,117.401227,8.158151,8.158151,147.490210
