# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548339348.72716 0.603222 -1.6223 1.32968 0.0984061 0.0921478 -0.470084 -0.872265
1548339348.76031 0.601827 -1.62089 1.32913 0.0997258 0.0931201 -0.46549 -0.874473
1548339348.79380 0.600122 -1.6193 1.32928 0.0991248 0.0911678 -0.46404 -0.875517
1548339348.82710 0.598839 -1.61817 1.32892 0.0971196 0.0924306 -0.467364 -0.873839
1548339348.86058 0.59716 -1.61648 1.32861 0.0995377 0.0930013 -0.462605 -0.876036
1548339348.89389 0.595603 -1.61503 1.32853 0.0987568 0.093082 -0.462177 -0.876342
1548339348.92737 0.594136 -1.61328 1.32808 0.101419 0.0945337 -0.459609 -0.877233
1548339348.96040 0.593073 -1.61143 1.32801 0.100325 0.0921913 -0.45747 -0.878725
1548339348.99426 0.592343 -1.61023 1.32738 0.100328 0.0916007 -0.45631 -0.879389
1548339349.02736 0.590824 -1.60747 1.32731 0.101164 0.0869343 -0.453272 -0.881336
1548339349.06052 0.589591 -1.60544 1.32704 0.102468 0.0863899 -0.454495 -0.880609
1548339349.09406 0.589452 -1.60397 1.3265 0.103579 0.0861726 -0.455741 -0.879856
1548339349.12767 0.588735 -1.60202 1.326 0.106792 0.0856698 -0.4535 -0.880678
1548339349.16080 0.587768 -1.59976 1.32577 0.108293 0.0813765 -0.450833 -0.88227
1548339349.19410 0.587269 -1.5984 1.325 0.109818 0.0827168 -0.449857 -0.882455
1548339349.22757 0.585547 -1.59675 1.32436 0.111958 0.0812747 -0.447473 -0.883531
1548339349.26072 0.583926 -1.59592 1.32403 0.109317 0.0808343 -0.448304 -0.883481
1548339349.29425 0.582151 -1.59523 1.32319 0.111108 0.0838596 -0.445614 -0.884336
1548339349.32762 0.580613 -1.59449 1.32261 0.111231 0.0849361 -0.443016 -0.885523
1548339349.36087 0.579197 -1.59381 1.32213 0.111942 0.0875204 -0.442832 -0.885274
1548339349.39405 0.578542 -1.59387 1.3219 0.109101 0.0862647 -0.442652 -0.885841
1548339349.42723 0.577999 -1.593 1.32074 0.1129 0.0873068 -0.436097 -0.888511
1548339349.46065 0.577863 -1.5931 1.31947 0.110711 0.0875739 -0.434207 -0.889685
1548339349.49409 0.57811 -1.59399 1.31797 0.104631 0.0870177 -0.434547 -0.890308
1548339349.52751 0.577487 -1.59369 1.31591 0.109309 0.0880392 -0.428644 -0.892505
1548339349.56056 0.577218 -1.59392 1.31445 0.104431 0.0846161 -0.427801 -0.893824
1548339349.59407 0.577103 -1.59451 1.31267 0.103104 0.0873689 -0.425518 -0.894802
1548339349.62731 0.576668 -1.59496 1.31102 0.101457 0.087085 -0.422403 -0.896492
1548339349.66064 0.575493 -1.59507 1.30927 0.104127 0.0879959 -0.416434 -0.898886
1548339349.69396 0.574349 -1.59563 1.30717 0.103247 0.0888003 -0.413913 -0.900073
1548339349.72736 0.573511 -1.59603 1.30467 0.0993741 0.0869225 -0.411732 -0.90169
1548339349.76101 0.573262 -1.59677 1.30159 0.0938467 0.0856206 -0.412416 -0.902095
1548339349.79423 0.573324 -1.59686 1.2977 0.0929991 0.082529 -0.411374 -0.902946
1548339349.82731 0.574722 -1.5968 1.29314 0.0922368 0.0845957 -0.409137 -0.903849
1548339349.86072 0.576601 -1.59722 1.28901 0.0868454 0.0820981 -0.411086 -0.903729
1548339349.89422 0.578462 -1.59714 1.2852 0.0838442 0.075566 -0.407311 -0.906288
1548339349.92743 0.580018 -1.59662 1.28104 0.0837813 0.0728208 -0.406049 -0.907084
1548339349.96066 0.581673 -1.5975 1.27695 0.0785261 0.0712799 -0.411035 -0.90543
1548339349.99425 0.583152 -1.59749 1.27278 0.0792698 0.0705932 -0.408166 -0.906716
1548339350.02771 0.584812 -1.5987 1.27019 0.0710413 0.0622065 -0.41104 -0.906714
1548339350.06075 0.585195 -1.59773 1.26653 0.07818 0.0639436 -0.403948 -0.909189
1548339350.09426 0.586038 -1.59944 1.26435 0.0701466 0.0588058 -0.410199 -0.907391
1548339350.12761 0.585948 -1.59982 1.26161 0.0708387 0.0589631 -0.409902 -0.907461
1548339350.16094 0.585371 -1.6 1.25871 0.0762852 0.0623338 -0.405979 -0.908557
1548339350.19404 0.585186 -1.60121 1.25658 0.0776626 0.0631222 -0.400573 -0.910783
1548339350.22747 0.585187 -1.60359 1.25532 0.0701063 0.0557439 -0.401738 -0.911364
1548339350.26059 0.584586 -1.60433 1.25251 0.0741278 0.0570528 -0.392906 -0.914809
1548339350.29387 0.584699 -1.60602 1.24954 0.0739599 0.0554627 -0.387835 -0.917081
1548339350.32726 0.584506 -1.60803 1.24662 0.0714585 0.0537887 -0.385156 -0.918507
1548339350.36047 0.584503 -1.60948 1.24368 0.0723752 0.05099 -0.37587 -0.922434
1548339350.39405 0.584194 -1.61141 1.24092 0.0686853 0.0485146 -0.376673 -0.922521
1548339350.42727 0.583693 -1.613 1.2384 0.0675787 0.0457443 -0.373881 -0.92388
1548339350.46032 0.583318 -1.61384 1.23584 0.0684036 0.0463936 -0.369505 -0.925546
1548339350.49382 0.5827 -1.6156 1.23412 0.0672475 0.0446018 -0.366907 -0.926751
1548339350.52733 0.582391 -1.61682 1.23312 0.064265 0.0402187 -0.365347 -0.927779
1548339350.56101 0.581855 -1.61786 1.23253 0.0643962 0.0364095 -0.360543 -0.929805
1548339350.59395 0.581485 -1.6191 1.23264 0.0638729 0.0348537 -0.356373 -0.931506
1548339350.62753 0.581289 -1.62059 1.23377 0.0627932 0.0335991 -0.352095 -0.933251
1548339350.66095 0.580518 -1.62131 1.23586 0.0646845 0.0309231 -0.349834 -0.934064
1548339350.69410 0.579924 -1.62233 1.23865 0.0642876 0.0324665 -0.348539 -0.934523
1548339350.72760 0.578606 -1.62359 1.24238 0.0652443 0.0327959 -0.345695 -0.935501
1548339350.76086 0.577797 -1.62469 1.24568 0.0690063 0.0368416 -0.344725 -0.935439
1548339350.79423 0.576654 -1.62548 1.25011 0.072627 0.0362294 -0.341246 -0.936463
1548339350.82741 0.574825 -1.62661 1.25494 0.0747676 0.039966 -0.340417 -0.936445
1548339350.86092 0.573243 -1.62723 1.25979 0.0782609 0.0426284 -0.339184 -0.936489
1548339350.89431 0.571472 -1.62896 1.2655 0.0753367 0.0433997 -0.345204 -0.934492
1548339350.92749 0.569487 -1.62823 1.27047 0.083298 0.0458499 -0.341847 -0.934933
1548339350.96084 0.567959 -1.62887 1.27576 0.0874017 0.0480677 -0.342798 -0.934099
1548339350.99412 0.56688 -1.63004 1.28124 0.0851199 0.0464959 -0.34465 -0.933707
1548339351.02738 0.564988 -1.63194 1.28646 0.0869993 0.0474056 -0.343769 -0.933813
1548339351.06062 0.562727 -1.63504 1.29202 0.0847682 0.0476627 -0.34654 -0.932981
1548339351.09380 0.559595 -1.63802 1.29787 0.0885169 0.04818 -0.344529 -0.93335
1548339351.12721 0.556104 -1.64254 1.30366 0.0900326 0.0541511 -0.343811 -0.933143
1548339351.16068 0.551496 -1.64799 1.31006 0.0953683 0.0552088 -0.33911 -0.934271
1548339351.19401 0.547292 -1.65489 1.31711 0.0913387 0.0585544 -0.336811 -0.935301
1548339351.22743 0.541356 -1.66226 1.32448 0.0915047 0.0586462 -0.330991 -0.937354
1548339351.26050 0.536615 -1.67009 1.33091 0.0943688 0.0569534 -0.317995 -0.941663
1548339351.29399 0.531065 -1.67925 1.33723 0.0947142 0.0556196 -0.314101 -0.943015
1548339351.32714 0.524719 -1.68632 1.34327 0.0981694 0.0620991 -0.308241 -0.94419
1548339351.36073 0.519391 -1.69436 1.34885 0.100943 0.065002 -0.299278 -0.946582
1548339351.39403 0.514134 -1.70213 1.35433 0.102294 0.0624478 -0.293448 -0.948433
1548339351.42746 0.509009 -1.70982 1.35958 0.105458 0.0626272 -0.283361 -0.951138
1548339351.46105 0.503619 -1.71673 1.36474 0.107546 0.0606837 -0.276287 -0.953109
1548339351.49411 0.498456 -1.72327 1.36988 0.111031 0.060991 -0.269531 -0.954623
1548339351.52745 0.492907 -1.72907 1.3749 0.114451 0.0604308 -0.264786 -0.955582
1548339351.56089 0.48778 -1.73452 1.37979 0.11951 0.0647068 -0.257025 -0.956801
1548339351.59397 0.482354 -1.7391 1.38493 0.122211 0.0641815 -0.251206 -0.95804
1548339351.62760 0.477531 -1.74384 1.39034 0.125708 0.0664611 -0.245878 -0.958814
1548339351.66068 0.473123 -1.74824 1.39572 0.129899 0.0661478 -0.239418 -0.959911
1548339351.69419 0.469067 -1.75247 1.40095 0.131819 0.0651383 -0.231788 -0.96159
1548339351.72763 0.464945 -1.75697 1.40634 0.135774 0.0662408 -0.223861 -0.962842
1548339351.76082 0.461564 -1.76153 1.41158 0.137888 0.0683532 -0.217945 -0.96375
1548339351.79407 0.457837 -1.76566 1.41703 0.13927 0.0663473 -0.213009 -0.964795
1548339351.82727 0.454634 -1.7703 1.42218 0.139872 0.0693973 -0.206671 -0.965871
1548339351.86048 0.451377 -1.77438 1.42718 0.141741 0.0673455 -0.197327 -0.967696
1548339351.89372 0.448315 -1.7786 1.43191 0.14269 0.0664987 -0.191738 -0.968738
1548339351.92747 0.445402 -1.783 1.43653 0.143581 0.065845 -0.185332 -0.969897
1548339351.96074 0.442756 -1.78771 1.44101 0.144454 0.0629835 -0.178173 -0.971298
1548339351.99391 0.440351 -1.7931 1.44567 0.142725 0.0627597 -0.169787 -0.973069
1548339352.02744 0.437501 -1.798 1.45004 0.141761 0.0618512 -0.165237 -0.974051
1548339352.06048 0.434138 -1.80313 1.45431 0.141352 0.0612622 -0.160406 -0.974955
1548339352.09404 0.430851 -1.80826 1.45846 0.139783 0.0617345 -0.156927 -0.975717
1548339352.12709 0.427072 -1.81297 1.46217 0.139389 0.0617477 -0.156126 -0.975901
1548339352.16076 0.423565 -1.81771 1.46583 0.139619 0.0620165 -0.14897 -0.976969
1548339352.19405 0.420251 -1.82207 1.46934 0.13837 0.0603866 -0.145004 -0.977845
1548339352.22758 0.417149 -1.82578 1.47264 0.139339 0.0587817 -0.138978 -0.97868
1548339352.26101 0.41391 -1.82901 1.47572 0.140484 0.0569843 -0.132548 -0.979514
1548339352.29410 0.410101 -1.83114 1.47835 0.142702 0.0536477 -0.128457 -0.979927
1548339352.32757 0.406047 -1.83308 1.48063 0.143931 0.0542796 -0.123388 -0.980364
1548339352.36058 0.401597 -1.8346 1.48208 0.145762 0.0508296 -0.120403 -0.980649
1548339352.39418 0.397467 -1.83683 1.48306 0.150554 0.0512367 -0.109485 -0.981184
1548339352.42730 0.39283 -1.83846 1.48356 0.149882 0.0446045 -0.108122 -0.981761
1548339352.46067 0.388286 -1.83994 1.48332 0.151729 0.0455439 -0.0987408 -0.982423
1548339352.49426 0.383851 -1.84198 1.48262 0.152283 0.0404016 -0.0911018 -0.9833
1548339352.52747 0.380026 -1.84316 1.48212 0.15139 0.0397793 -0.0895421 -0.983606
1548339352.56083 0.376914 -1.8451 1.48091 0.151499 0.035839 -0.0869206 -0.983976
1548339352.59386 0.373337 -1.84677 1.4786 0.153052 0.0309089 -0.0786607 -0.984598
1548339352.62743 0.370586 -1.84813 1.47676 0.149214 0.0272374 -0.0765947 -0.985458
1548339352.66065 0.366675 -1.84905 1.47423 0.149703 0.0261881 -0.0705379 -0.985864
1548339352.69406 0.3635 -1.85073 1.47163 0.147879 0.0203719 -0.0730294 -0.986095
1548339352.72732 0.360403 -1.85249 1.46847 0.145377 0.0180357 -0.0713068 -0.986638
1548339352.76070 0.357179 -1.85374 1.4649 0.144039 0.0169498 -0.0681263 -0.987079
1548339352.79406 0.354609 -1.85516 1.46123 0.137261 0.0206858 -0.0633448 -0.988291
1548339352.82755 0.351847 -1.85642 1.45727 0.142968 0.0171102 -0.0625098 -0.987603
1548339352.86081 0.349669 -1.8579 1.45357 0.137605 0.0150258 -0.0582304 -0.98866
1548339352.89386 0.347757 -1.85944 1.45016 0.136416 0.0138671 -0.0569492 -0.988916
1548339352.92736 0.346152 -1.86108 1.44676 0.138328 0.013458 -0.0501268 -0.989026
1548339352.96080 0.34464 -1.86261 1.44366 0.13361 0.0141269 -0.0429736 -0.990001
1548339352.99404 0.343364 -1.86481 1.44065 0.14839 0.00599889 -0.0430106 -0.987975
1548339353.02760 0.342324 -1.86537 1.43843 0.136653 0.00864565 -0.029444 -0.990144
1548339353.06073 0.341089 -1.86587 1.43664 0.13605 0.00472276 -0.0218051 -0.990451
1548339353.09414 0.339626 -1.86548 1.43532 0.137599 0.00432123 -0.0142767 -0.990376
1548339353.12764 0.338313 -1.86454 1.43457 0.139669 0.00160886 -0.00406552 -0.990189
1548339353.16087 0.336547 -1.86254 1.43394 0.145714 0.000513239 0.00143731 -0.989326
1548339353.19412 0.335492 -1.86068 1.4338 0.147132 -0.000315903 0.00791642 -0.989085
1548339353.22758 0.33427 -1.8593 1.43445 0.151828 -0.00322472 0.0171469 -0.988253
1548339353.26072 0.332789 -1.85708 1.435 0.156823 -0.00664874 0.0250058 -0.987288
1548339353.29392 0.33133 -1.85517 1.43623 0.153011 -0.00606366 0.034679 -0.987597
1548339353.32726 0.32969 -1.85341 1.43756 0.15832 -0.00696974 0.0389762 -0.986594
1548339353.36080 0.328105 -1.85208 1.43928 0.162603 -0.00784098 0.0446652 -0.985649
1548339353.39399 0.326505 -1.85089 1.44124 0.161791 -0.00564515 0.0514168 -0.985468
1548339353.42740 0.325112 -1.85043 1.44364 0.165713 -0.00647765 0.0550274 -0.984616
1548339353.46061 0.323675 -1.85002 1.44631 0.166101 -0.00592002 0.0596967 -0.984282
1548339353.49394 0.322299 -1.84966 1.44918 0.165532 -0.00487438 0.0658351 -0.983993
1548339353.52726 0.320868 -1.84916 1.45223 0.163509 -0.00332865 0.0709925 -0.983979
1548339353.56051 0.319383 -1.84825 1.45481 0.166628 -0.00270632 0.0746814 -0.983184
1548339353.59403 0.318061 -1.84745 1.45735 0.167002 -0.00253493 0.0812887 -0.982597
1548339353.62745 0.316826 -1.84637 1.45998 0.166673 -0.00140065 0.0862066 -0.982235
1548339353.66090 0.315661 -1.84509 1.46246 0.166245 -0.000417679 0.0897242 -0.981994
1548339353.69397 0.314615 -1.8441 1.465 0.165706 -0.000467044 0.0973929 -0.981354
