#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.003989,3,1,0,2007
0.000974,4,1,0,2640
0.252266,5,1,0,3125
0.236786,6,1,0,4210
0.462226,7,1,0,4330
0.612896,8,1,0,4979
0.495374,9,1,0,5370
0.663732,10,1,0,6959
1.184365,11,1,0,8007
1.406302,11,2,0,7570
2.123911,12,1,0,8138
2.098472,13,1,0,8426
1.540902,13,2,0,9666
1.893139,14,2,0,11807
3.066383,16,2,0,11372
2.832584,16,2,0,11723
4.023949,16,3,0,11131
3.574066,16,4,0,10811
4.595914,16,5,0,10768
4.681431,17,5,0,10645
2.793859,16,7,0,10161
6.647837,19,5,0,11029
9.434093,19,6,0,10694
7.848708,18,8,0,10131
6.285581,19,8,0,10221
5.031437,21,7,0,10907
11.079048,19,10,0,9973
7.552495,22,8,0,11165
6.489708,21,10,0,10524
6.533407,22,10,0,11430
5.329307,20,13,0,11237
6.878300,20,14,0,10354
11.188817,20,15,0,10338
4.307381,21,15,0,11704
7.263395,21,16,0,11480
4.743677,20,18,0,11330
6.576417,14,24,0,8563
6.312417,14,25,0,7016
5.817459,13,27,0,6999
3.594149,12,26,0,6199
6.698413,12,27,0,6245
3.556931,14,26,0,7365
3.041377,14,27,0,7601
3.125058,14,28,0,6721
7.172816,13,25,0,5991
2.766225,14,25,0,6643
8.085864,15,25,0,6352
3.229393,16,25,0,6652
4.784068,17,25,0,6981
9.851377,17,26,0,7251
2.806059,16,24,0,7037
3.314551,16,20,0,6949
4.830275,16,19,0,6610
3.937996,17,19,0,6511
3.556790,18,19,0,6779
3.504734,18,20,0,6871
3.325016,17,20,0,5684
2.763848,19,21,0,6464
3.069216,17,22,0,5365
9.680467,19,23,0,6034
3.679391,19,22,0,5504
9.402739,20,22,0,5718
2.136468,20,29,0,5837
9.713401,23,21,0,6618
3.268663,24,21,0,6755
3.089852,24,22,0,6517
2.485137,23,24,0,5727
2.297260,22,26,0,5247
2.634988,21,28,0,4979
3.432041,27,23,0,6224
2.654549,7,38,0,3099
2.967405,7,33,0,2754
2.792792,6,31,0,2768
3.107455,4,30,0,1570
1.069405,5,30,0,1960
1.116882,6,30,0,2647
1.145965,9,32,0,4545
1.530306,11,31,0,5042
2.591472,12,31,0,6204
2.484303,12,32,0,6999
1.859397,14,31,0,7904
3.913795,12,30,0,6501
3.379466,11,11,0,6590
4.488929,11,10,0,6416
8.592556,11,6,0,7903
4.251596,12,6,0,8395
5.894975,13,6,0,7632
6.171719,14,6,0,7993
10.059716,14,7,0,7884
5.305642,16,6,0,9966
2.512286,17,6,0,10254
8.138972,17,7,0,10771
18.656194,16,6,0,11025
6.161755,15,8,0,10812
9.299521,15,9,0,10523
14.912298,16,9,0,10982
7.745449,19,7,0,11781
7.458152,16,11,0,10165
7.685465,14,13,0,10418
12.785289,17,12,0,11447
4.246684,17,12,0,11508
5.573070,17,13,0,11615
17.616878,18,13,0,12204
7.295068,19,13,0,12140
18.772677,18,15,0,11855
5.953469,18,16,0,11916
17.461830,21,14,0,14442
8.301645,20,16,0,13997
8.896626,16,21,0,10692
10.609216,19,19,0,10300
10.168152,13,17,0,7616
22.810962,24,16,0,13729
9.239107,20,21,0,11962
10.260626,20,22,0,11861
18.225126,30,14,0,14730
22.703541,24,20,0,12889
23.692870,15,26,0,7803
18.359276,32,14,0,14953
5.847048,36,12,0,16222
9.166328,21,26,0,13688
23.013492,17,27,0,11514
19.523314,12,29,0,7727
7.217588,16,26,0,7966
3.937821,21908,116,4,21908
5.308794,90,117,3,90
