#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
0.979321,0.035641,0.617404,0.003989,0.003989,1.640439
13.584922,0.288167,1577.233332,0.000974,0.000974,1591.108798
2.675656,0.216620,79.182454,0.252266,0.252266,106.686293
8.923085,0.308325,69.936703,0.236786,0.236786,93.839014
3.290288,0.383963,127.315987,0.462226,0.462226,149.691538
5.727144,0.367100,253.495692,0.612896,0.612896,285.048887
2.981010,0.800864,192.905709,0.495374,0.495374,218.968112
4.096916,0.909171,356.595683,0.663732,0.663732,386.443814
3.901313,0.994642,407.272501,1.184365,1.184365,452.968009
4.751544,1.029422,514.949744,1.406302,1.406302,809.376636
3.721650,1.346536,614.500027,2.123911,2.123911,777.440635
3.870406,1.784759,594.877624,2.098472,2.098472,827.168810
4.034771,1.854117,442.147218,1.540902,1.540902,508.926663
4.676889,1.853608,499.448143,1.893139,1.893139,760.721186
3.960389,1.895102,697.972494,3.066383,3.066383,965.053387
4.285601,1.408104,613.695836,2.832584,2.832584,988.828622
4.198862,2.639025,538.251494,4.023949,4.023949,963.360178
3.394971,1.952809,611.714150,3.574066,3.574066,953.677840
4.551499,2.389759,521.537600,4.595914,4.595914,888.782380
4.884498,2.187259,516.387624,4.681431,4.681431,875.424918
4.780387,1.876673,530.533270,2.793859,2.793859,875.008425
4.408376,1.672369,527.550041,6.647837,6.647837,870.359440
3.912938,1.140808,588.617623,9.434093,9.434093,886.185759
4.731973,1.671140,955.350844,7.848708,7.848708,1036.220954
6.127242,1.527812,509.256012,6.285581,6.285581,813.354165
8.830584,0.844739,467.253066,5.031437,5.031437,794.621079
5.235679,1.054858,488.831157,11.079048,11.079048,822.681556
4.824436,0.698549,542.234309,7.552495,7.552495,887.767869
3.208510,0.915693,629.633444,6.489708,6.489708,848.805986
4.331416,0.916993,568.995028,6.533407,6.533407,874.207651
5.887826,0.970802,551.242365,5.329307,5.329307,811.060868
6.047761,0.688936,544.988335,6.878300,6.878300,851.430928
5.471097,0.834471,525.959343,11.188817,11.188817,830.350111
4.593404,1.407240,526.425911,4.307381,4.307381,608.150967
5.909755,1.228698,640.654052,7.263395,7.263395,831.290505
3.675129,0.594132,506.356543,4.743677,4.743677,598.038271
5.001295,1.333938,543.679066,6.576417,6.576417,910.476351
3.564194,1.441967,552.134664,6.312417,6.312417,817.690407
3.608469,1.564620,417.395978,5.817459,5.817459,480.285254
6.628671,1.226387,468.879092,3.594149,3.594149,524.052874
4.708375,1.082050,519.221647,6.698413,6.698413,711.267989
2.920702,1.304695,462.146503,3.556931,3.556931,677.245307
3.372715,1.369645,372.861287,3.041377,3.041377,429.059208
