# ground truth trajectory
# timestamp tx ty tz qx qy qz qw
1548339380.76065 -0.89797 -2.44532 1.34013 0.152137 -0.0467548 0.239317 -0.957808
1548339380.79388 -0.89701 -2.44438 1.34214 0.146836 -0.0443037 0.240121 -0.95855
1548339380.82755 -0.89562 -2.44379 1.34447 0.151855 -0.0429676 0.237004 -0.958605
1548339380.86069 -0.893969 -2.44282 1.34654 0.153956 -0.0410176 0.235614 -0.958698
1548339380.89395 -0.892055 -2.44218 1.34889 0.153624 -0.0395183 0.23327 -0.959387
1548339380.92739 -0.889925 -2.44156 1.35146 0.153456 -0.0376932 0.231712 -0.959865
1548339380.96071 -0.887555 -2.44079 1.35373 0.1553 -0.0380973 0.229684 -0.96004
1548339380.99414 -0.885192 -2.43975 1.35625 0.153654 -0.037874 0.228397 -0.96062
1548339381.02750 -0.882754 -2.43785 1.35882 0.155085 -0.0379675 0.227161 -0.96068
1548339381.06088 -0.880171 -2.43615 1.36169 0.15745 -0.0328597 0.228281 -0.960217
1548339381.09412 -0.877578 -2.43367 1.36401 0.159547 -0.0350101 0.226309 -0.960262
1548339381.12763 -0.874882 -2.43095 1.36671 0.160573 -0.0342234 0.225778 -0.960245
1548339381.16096 -0.871656 -2.42838 1.3694 0.163761 -0.0317849 0.225621 -0.959827
1548339381.19411 -0.868204 -2.42596 1.37171 0.162917 -0.0336165 0.223629 -0.960374
1548339381.22763 -0.865065 -2.42377 1.37404 0.163377 -0.0347499 0.221085 -0.960844
1548339381.26076 -0.861598 -2.42267 1.37649 0.163905 -0.0325753 0.221553 -0.960723
1548339381.29416 -0.858415 -2.4212 1.37839 0.162368 -0.0358685 0.220422 -0.961127
1548339381.32757 -0.85548 -2.42005 1.38048 0.1635 -0.0325808 0.220282 -0.961084
1548339381.36081 -0.852799 -2.4189 1.38205 0.161966 -0.0345406 0.220549 -0.961214
1548339381.39368 -0.850653 -2.41783 1.38356 0.162087 -0.0354231 0.222494 -0.960713
1548339381.42743 -0.848707 -2.41666 1.38528 0.163856 -0.0306861 0.222029 -0.960683
1548339381.46070 -0.846697 -2.41571 1.38708 0.164094 -0.030016 0.223037 -0.960431
1548339381.49390 -0.844671 -2.41452 1.38878 0.163107 -0.0311389 0.22438 -0.96025
1548339381.52743 -0.842141 -2.41317 1.39089 0.163094 -0.0305072 0.22379 -0.96041
1548339381.56052 -0.839291 -2.41197 1.39336 0.164265 -0.0281338 0.222813 -0.96051
1548339381.59396 -0.83581 -2.41117 1.39595 0.166655 -0.0279449 0.223462 -0.959953
1548339381.62741 -0.832226 -2.41017 1.39861 0.165171 -0.0282186 0.221727 -0.960604
1548339381.66071 -0.827754 -2.40903 1.4015 0.16716 -0.027495 0.220008 -0.960676
1548339381.69385 -0.822913 -2.40757 1.40416 0.166068 -0.0284032 0.216905 -0.961544
1548339381.72760 -0.818061 -2.4057 1.40688 0.167517 -0.0266701 0.212516 -0.962322
1548339381.76046 -0.812969 -2.40366 1.4091 0.169618 -0.0238898 0.209928 -0.962595
1548339381.79397 -0.807638 -2.40148 1.41079 0.169191 -0.0237271 0.205283 -0.963675
1548339381.82755 -0.801931 -2.39984 1.41218 0.170337 -0.0220334 0.203221 -0.963951
1548339381.86086 -0.79602 -2.39823 1.4131 0.170881 -0.0200687 0.200393 -0.964489
1548339381.89417 -0.789867 -2.39665 1.41382 0.170368 -0.0178289 0.193905 -0.965949
1548339381.92765 -0.783917 -2.39511 1.41409 0.16852 -0.0170602 0.189812 -0.9671
1548339381.96101 -0.777789 -2.39369 1.4141 0.167059 -0.0161297 0.185722 -0.968162
1548339381.99395 -0.771569 -2.3922 1.41385 0.166356 -0.0144788 0.179759 -0.969434
1548339382.02738 -0.765537 -2.39041 1.41315 0.164031 -0.0126039 0.173882 -0.970927
1548339382.06090 -0.759817 -2.38869 1.41247 0.155508 -0.0117613 0.170277 -0.972977
1548339382.09406 -0.754525 -2.38563 1.4108 0.16053 -0.00956482 0.165925 -0.972938
1548339382.12767 -0.750131 -2.38234 1.40881 0.142116 0.00105518 0.174196 -0.974401
1548339382.16089 -0.745698 -2.37951 1.40695 0.141487 0.0025584 0.170267 -0.975184
1548339382.19380 -0.741918 -2.37629 1.40479 0.140544 0.00576887 0.167326 -0.975816
1548339382.22732 -0.738367 -2.37314 1.40207 0.14039 0.00755578 0.165842 -0.976079
1548339382.26065 -0.735059 -2.37008 1.39873 0.140027 0.00837437 0.165117 -0.976247
1548339382.29393 -0.731919 -2.36675 1.39518 0.139567 0.00931311 0.162925 -0.976673
