Frame ID,# Kfs
1,1
65,2
66,3
76,4
82,5
87,6
91,7
95,8
98,9
106,10
118,11
123,12
131,13
137,14
142,15
151,16
159,17
173,18
205,19
216,20
218,21
219,22
222,23
225,24
227,25
235,26
238,27
246,28
261,29
273,30
278,31
282,32
288,33
294,34
301,35
305,36
309,37
318,38
324,39
328,40
336,41
341,42
355,43
361,44
372,45
380,46
391,47
424,48
463,49
526,50
593,51
672,52
726,53
769,54
808,55
824,56
846,57
875,58
898,59
908,60
925,61
943,62
959,63
980,64
1016,65
1037,66
1048,67
1057,68
1067,69
1078,70
1092,71
1108,72
1149,73
1190,74
1233,75
1240,75
