#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.005636,3,1,0,2391
0.001698,4,1,0,3459
0.231081,5,1,0,4538
0.261673,6,1,0,5074
0.377986,7,1,0,5426
0.406904,8,1,0,6130
0.898815,9,1,0,6114
1.367847,10,1,0,6457
0.249600,11,1,0,6735
0.440838,10,2,0,6427
0.735110,10,3,0,7493
0.515898,10,4,0,7009
0.607791,8,7,0,6143
0.924155,7,9,0,5241
0.492222,8,9,0,5826
0.872498,9,9,0,7532
0.432938,10,9,0,7483
0.987427,11,9,0,8703
0.949467,12,9,0,8768
1.046919,11,11,0,8418
1.390701,11,12,0,8240
1.944357,10,14,0,6973
1.713751,8,17,0,5369
1.373897,9,17,0,5491
1.160544,9,18,0,5982
1.061058,9,19,0,5489
1.107932,9,15,0,5407
0.852733,10,15,0,5484
2.140172,11,15,0,6320
0.997867,12,15,0,7806
1.289212,12,16,0,7567
1.420484,12,16,0,9144
1.182352,11,17,0,8477
2.272001,12,20,0,9975
2.095118,12,18,0,12208
2.920225,13,20,0,13038
3.132140,15,19,0,11838
3.458343,10,16,0,8431
7.791648,10,15,0,8601
2.911318,10,16,0,7002
4.302794,9,18,0,7397
2.650556,10,18,0,6809
3.615052,11,18,0,6848
1.801249,11,19,0,6816
2.279997,11,20,0,6512
2.070893,11,19,0,6205
1.383605,11,14,0,6886
1.216388,11,15,0,5521
1.349077,10,14,0,5802
1.511887,13,15,0,7030
1.270089,14,12,0,7543
2.040459,14,13,0,8296
2.217486,11,16,0,8288
2.724236,18,14,0,10909
5.069158,11,18,0,8607
15.953087,11,19,0,9491
4.713053,11,20,0,8594
2.644864,11,21,0,8371
5.158031,8,21,0,4647
3.853992,6,23,0,3656
2.675377,5,17,0,4283
1.894984,6,16,0,4092
11.009227,7,16,0,5134
1.156586,7,14,0,4663
1.084883,7,11,0,5686
1.199373,8,11,0,7302
9.766628,9,11,0,7246
3.722515,10,11,0,8768
3.389083,11,11,0,9984
7.615303,12,11,0,10275
10.397030,12,10,0,15437
2.198999,11,5,0,17646
11.507553,12,5,0,20884
11.269862,11,7,0,16557
5.290166,12,7,0,19175
8.110330,13,7,0,21380
7.683960,14,7,0,20727
7.279205,15,7,0,21363
7.686427,17,6,0,17133
6.717772,18,6,0,19317
10.119463,19,6,0,21167
11.718615,19,7,0,21967
10.582955,20,7,0,25008
9.611670,21,7,0,25505
7.793689,22,11,0,22777
21.769133,21,13,0,20453
15.154601,19,15,0,22898
7.367685,12,26,0,17431
12.904918,15,57,0,18396
22.464502,11,39,0,14307
7.268283,13,61,0,10804
22.981169,15,61,0,13926
3.491205,12,50,0,9755
9.145610,16,31,0,12006
5.343734,13,41,0,10943
21.959427,12,40,0,10189
7.698355,11,38,0,9072
3.283248,11,40,0,9684
6.752683,10,55,0,8354
3.120829,13,34,0,14299
3.144592,15,28,0,16207
6.952321,15,33,0,15333
8.356991,16,29,0,16603
6.488693,15,31,0,14713
21.347547,19,28,0,20581
18.871507,33,19,0,34108
10.488623,32,17,0,34304
14.473985,32,17,0,35708
16.018679,32,18,0,36439
33.209966,34,18,0,35715
23.885434,36,17,0,37363
23.300724,39,19,0,39322
22.961708,39,20,0,39616
38.209975,41,32,0,40361
37.791448,43,31,0,40894
29.465395,36,39,0,36335
17.254492,50,36,0,44112
33.197686,33,55,0,31401
23.695872,24,64,0,25321
38.168213,14,78,0,16386
44.666127,15,54,0,12612
12.388500,16,51,0,12989
8.447240,14,52,0,10333
6.334168,11,54,0,8461
4.343939,11,54,0,7942
1.973154,11,53,0,9955
3.443059,9,22,0,6383
7.306310,9,22,0,5255
3.099524,8,20,0,3260
1.476541,8,9,0,2404
1.066972,8,9,0,2738
1.115316,9,9,0,3031
0.984743,9,10,0,2678
0.952348,9,11,0,2559
0.982814,3,8,0,622
1.734426,4,8,0,1776
0.555731,5,8,0,2358
0.609314,6,8,0,2311
0.566827,6,7,0,3837
0.832911,7,7,0,4323
1.370498,8,7,0,4783
1.028513,9,7,0,5512
1.329434,10,7,0,6738
2.651630,11,7,0,7729
3.033178,12,7,0,7567
3.943878,13,10,0,7868
5.824175,11,13,0,6932
3.867851,11,14,0,6442
22.139644,13,17,0,6160
3.871134,12,19,0,5920
3.470318,11,21,0,5767
1.575586,12,21,0,6119
1.623940,11,18,0,4936
2.508037,12,18,0,5172
1.206653,13,18,0,6149
1.762522,14,18,0,6610
1.479638,15,18,0,7427
5.197626,16,18,0,7722
2.970328,15,17,0,8644
1.679371,15,18,0,7662
4.330407,15,18,0,7473
2.359913,18,18,0,8279
1.853836,16,19,0,7058
3.360044,11,25,0,5251
24.200319,18,23,0,7519
1.711964,16,28,0,8036
2.494510,11,30,0,5787
4.528094,12,42,0,5613
28.095859,13,40,0,5798
2.071945,15,44,0,6320
2.633359,14,31,0,5589
2.106103,13,33,0,6072
1.735513,14,33,0,6047
1.695465,15,33,0,6791
2.516120,17,42,0,7750
3.562055,17,33,0,8543
26.367654,17,34,0,8304
4.029762,21,41,0,10616
4.000917,21,33,0,10777
3.108788,21,34,0,11078
30.353113,24,32,0,12050
3.712307,24,33,0,12426
4.268738,22,34,0,11509
5.402427,28,30,0,14353
3.327455,33,28,0,15657
31.682690,30,28,0,15708
25.929615,39,24,0,18561
10.000795,37,26,0,18614
8.192917,35,29,0,18263
9.200546,36,28,0,18079
5.249387,34,32,0,16676
7.216370,38,34,0,17567
32.322712,33,35,0,15825
6.882442,33,37,0,16048
8.870686,32,36,0,15450
6.910126,34,35,0,16018
8.189759,32,37,0,15486
34.768553,31,40,0,14169
6.002375,31,40,0,13511
35.360229,33,40,0,14863
9.409656,33,40,0,14289
6.923076,34,40,0,14638
6.704680,31,42,0,14318
33.916051,35,41,0,15542
6.228205,33,42,0,15050
6.923158,34,42,0,15360
4.878151,27,49,0,13553
7.254586,29,48,0,13668
5.662243,13,61,0,8005
6.988559,14,61,0,9231
4.475648,20,57,0,11641
4.831753,32,49,0,16101
5.126858,23,56,0,12518
11.063766,31,49,0,14900
6.491106,17,67,0,9221
35.563679,18,67,0,9431
5.211922,15,71,0,7951
3.509151,13,78,0,6446
2.557741,9,70,0,4758
2.117956,7,72,0,4151
1.722271,6,60,0,3994
1.843250,8,65,0,5196
1.094796,12,62,0,7822
1.743563,11,35,0,7281
6.830583,12,35,0,7403
5.510079,17,31,0,10951
3.954319,15,34,0,10359
4.659354,20,29,0,13285
4.136993,13,29,0,11500
8.361242,17,26,0,14805
37.093191,18,26,0,16664
10.216299,19,14,0,15146
39.481273,19,19,0,16099
33.995660,14,21,0,14266
36.707426,15,21,0,13848
10.500150,15,22,0,12403
4.665155,15,23,0,12578
2.877106,16,23,0,14191
39.887691,17,23,0,14829
36.625173,17,24,0,15070
6.367353,17,25,0,16046
10.302360,18,25,0,16546
11.130736,18,24,0,15181
8.067089,21,24,0,17132
4.966574,23,23,0,18034
43.134757,23,24,0,17705
6.618719,24,24,0,17982
37.810382,27,22,0,19522
6.796603,25,25,0,25104
38.467917,28,23,0,27199
44.125821,29,23,0,26429
12.692280,29,24,0,26757
16.200252,32,22,0,28429
51.324740,20,35,0,24818
49.860463,20,36,0,23887
16.811861,30,43,0,25862
51.065323,36,40,0,28931
47.156728,23,54,0,20962
15.370881,30,77,0,25085
35.951282,29,97,0,24657
15.044346,25,113,0,22438
16.100318,20,114,0,17835
10.937811,18,104,0,12562
30.520613,23,96,0,12262
10.825399,14,101,0,7942
7.455148,14,101,0,7214
5.790020,12,83,0,6103
36.147415,12,84,0,5924
1.632125,9,60,0,4605
2.706203,10,59,0,5594
1.206149,9,51,0,5844
2.884659,9,37,0,6005
1.394054,10,37,0,5926
2.123204,10,23,0,5906
1.536069,10,24,0,5625
1.398544,12,23,0,6715
1.421139,11,20,0,7328
3.265189,12,20,0,7684
4.131377,13,20,0,8612
38.461116,14,20,0,8590
2.941057,15,20,0,9030
3.604060,16,20,0,9352
3.169324,16,19,0,9453
3.911771,17,19,0,10063
4.189409,18,19,0,10644
4.833484,19,19,0,13053
2.409616,12,11,0,12821
35.417764,18,13,0,14015
8.867950,7,16,0,6887
6.538031,14,11,0,11770
3.465512,13,13,0,10340
5.912919,6,18,0,4602
4.196045,7,18,0,5259
0.812527,7,19,0,5862
2.777167,8,19,0,6552
1.157017,8,17,0,6036
2.938721,9,17,0,6410
0.937460,9,17,0,5635
3.254925,10,17,0,6262
39.858499,10,18,0,6260
2.107675,10,5,0,6158
40.010389,11,5,0,6970
0.985611,11,6,0,7728
2.318917,12,6,0,8967
5.195770,12,6,0,8917
4.167672,13,6,0,8425
4.721538,12,7,0,7639
4.395660,12,8,0,8452
4.010249,14,7,0,9032
6.230589,17,6,0,11474
5.108972,16,7,0,11585
5.053115,15,11,0,13599
5.672396,24,18,0,19454
7.897502,25,18,0,19855
10.399547,24,23,0,21756
53.200564,17,28,0,16943
16.901754,15,34,0,14638
8.967564,30,42,0,24823
12.391983,18,26,0,17859
16.428553,18,27,0,17485
11.643650,17,23,0,16729
50.294932,16,24,0,14336
9.379170,17,24,0,15861
8.851887,16,19,0,14557
6.743790,17,25,0,14768
5.592459,17,20,0,14125
10.256392,18,20,0,14909
47.396181,18,21,0,15322
9.706619,15,46,0,11488
9.447272,14,47,0,9845
46.433784,11,52,0,9905
6.214168,11,49,0,10265
4.152993,13,48,0,10735
3.144731,16,42,0,13664
5.966955,28,30,0,22200
4.968474,19,40,0,16386
40.775865,25,27,0,21975
44.052973,26,19,0,23079
14.438175,21,22,0,21605
23.164828,23,21,0,20207
10.695646,16,29,0,15895
16.949626,12,32,0,15391
13.424746,13,32,0,14032
10.732761,13,33,0,12126
10.358214,11,44,0,10036
7.584071,14,43,0,12338
7.938855,11,41,0,9612
5.630210,13,40,0,10567
