#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
2.752397,0.076072,1.394091,0.005636,0.005636,4.235029
2.479083,0.126135,1594.356825,0.001698,0.001698,1596.966322
3.245631,0.256708,97.863863,0.231081,0.231081,111.079221
3.158764,0.278322,208.494352,0.261673,0.261673,227.060405
7.279556,0.504661,304.060119,0.377986,0.377986,341.663494
3.076665,0.605693,325.672676,0.406904,0.406904,355.780812
2.818310,0.748532,351.063597,0.898815,0.898815,381.673949
2.498696,0.727504,333.443535,1.367847,1.367847,367.136781
1.144175,0.535241,166.811350,0.249600,0.249600,200.060425
2.492806,0.965727,384.073790,0.440838,0.440838,420.184693
2.090494,0.539205,392.230189,0.735110,0.735110,429.067042
2.336736,0.560581,561.134369,0.515898,0.515898,612.447379
1.860994,0.736736,722.861388,0.607791,0.607791,871.340509
2.601714,0.943184,413.388800,0.924155,0.924155,469.785193
2.966854,0.731794,565.313844,0.492222,0.492222,619.355851
3.283212,1.107748,349.129142,0.872498,0.872498,394.457217
3.211029,1.087937,423.467904,0.432938,0.432938,469.850190
3.898794,0.998769,601.612902,0.987427,0.987427,661.017243
3.573906,1.607501,526.038346,0.949467,0.949467,571.924692
3.488927,1.667401,508.825584,1.046919,1.046919,580.567978
3.481746,1.854695,1043.828347,1.390701,1.390701,1107.956675
3.016004,1.783130,867.757047,1.944357,1.944357,991.803317
2.033551,1.490947,726.993017,1.713751,1.713751,965.259678
2.129854,1.123808,597.034679,1.373897,1.373897,787.391832
2.632790,4.391145,384.521269,1.160544,1.160544,436.461499
2.895249,1.037670,460.863228,1.061058,1.061058,512.518896
7.905682,0.723638,379.467264,1.107932,1.107932,434.670621
3.605786,0.649494,360.379585,0.852733,0.852733,410.494087
6.591977,0.618794,391.926659,2.140172,2.140172,447.822066
3.681014,1.025076,426.477625,0.997867,0.997867,474.878067
3.795207,1.007802,554.006701,1.289212,1.289212,609.490817
6.863975,0.793610,674.958832,1.420484,1.420484,915.665143
2.525683,1.518113,617.836500,1.182352,1.182352,667.640393
4.854605,5.690834,1431.666099,2.272001,2.272001,1505.039772
4.891980,1.839716,1266.179733,2.095118,2.095118,1335.881004
3.338751,1.850083,1516.363094,2.920225,2.920225,1597.802294
6.504622,2.032272,1878.171052,3.132140,3.132140,1969.058967
7.435320,2.478108,1756.715524,3.458343,3.458343,1851.616601
