#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000000,3,1,0,2211
0.004964,4,1,0,2710
0.135794,5,1,0,3289
0.382007,6,1,0,3809
0.732237,7,1,0,4297
0.687923,8,1,0,4829
1.087726,9,1,0,5344
1.440767,10,1,0,5848
2.012761,11,1,0,6367
1.779937,12,1,0,6854
2.209154,13,1,0,7347
2.371045,14,1,0,7811
2.397765,15,1,0,8257
2.452457,16,1,0,8652
2.917118,17,1,0,8998
3.770142,18,1,0,9314
3.741725,19,1,0,9613
6.074470,20,1,0,9873
4.336455,21,1,0,10110
4.897704,22,1,0,10253
4.911653,23,1,0,10385
5.123848,24,1,0,10540
5.412925,25,1,0,10694
5.430906,26,1,0,10854
5.629837,27,1,0,11019
6.052151,28,1,0,11208
6.258034,29,1,0,11434
6.678651,30,1,0,11697
6.559347,31,1,0,12001
6.863648,32,1,0,12450
6.921888,33,1,0,12879
7.883932,34,1,0,13345
8.328481,35,1,0,13770
8.907133,36,1,0,14212
9.480225,37,1,0,14632
10.980647,38,1,0,15068
10.598577,39,1,0,15492
11.380692,40,1,0,15966
11.974301,41,1,0,16498
13.171396,42,1,0,16960
13.912114,43,1,0,17478
15.134632,44,1,0,17937
15.769881,45,1,0,18300
16.597694,46,1,0,18586
17.145058,47,1,0,18821
18.011495,48,1,0,19063
18.173306,49,1,0,19214
18.714677,50,1,0,19382
19.049837,51,1,0,19568
19.731292,52,1,0,19736
20.382037,53,1,0,19912
22.110243,54,1,0,20184
21.043394,55,1,0,20472
21.865981,56,1,0,20761
22.600556,57,1,0,21074
23.123000,58,1,0,21368
24.772405,59,1,0,21594
25.505216,60,1,0,21922
25.765827,61,1,0,22263
27.455468,62,1,0,22586
27.339795,63,1,0,23007
28.106340,64,1,0,23408
29.894232,65,1,0,23766
30.542679,66,1,0,24242
31.794396,67,1,0,24725
34.139375,68,1,0,25204
33.830115,69,1,0,25667
35.243499,70,1,0,26107
36.245366,71,1,0,26509
37.703682,72,1,0,26863
38.557670,73,1,0,27188
40.698848,74,1,0,27502
41.507315,75,1,0,27806
42.831834,76,1,0,28079
43.176376,77,1,0,28315
44.588305,78,1,0,28547
45.410030,79,1,0,28776
47.069779,80,1,0,28955
47.173913,81,1,0,29116
48.681413,82,1,0,29265
49.801848,83,1,0,29407
49.917058,84,1,0,29559
50.858476,85,1,0,29710
51.265540,86,1,0,29871
51.791129,87,1,0,30042
52.123944,88,1,0,30220
53.839711,89,1,0,30403
53.107122,90,1,0,30609
53.874711,91,1,0,30824
54.957499,92,1,0,31060
56.923387,93,1,0,31407
57.436527,94,1,0,31814
65.682501,95,1,0,32255
74.846327,96,1,0,32720
