#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
1.940968,0.055312,0.085931,0.000000,0.000000,2.083283
1.830571,0.103304,2.615573,0.004964,0.004964,4.562101
3.123380,0.095654,1.848981,0.135794,0.135794,14.897598
16.456199,0.136590,2.473774,0.382007,0.382007,31.585776
10.412670,0.148816,4.414025,0.732237,0.732237,32.709172
5.445476,0.000134,11.596224,0.687923,0.687923,35.026833
6.811681,0.000148,5.522098,1.087726,1.087726,37.333250
20.297146,0.000124,5.911605,1.440767,1.440767,46.030964
14.297388,0.000573,6.962647,2.012761,2.012761,50.448585
24.754666,0.000251,9.424254,1.779937,1.779937,67.006142
19.413963,0.000395,12.891589,2.209154,2.209154,56.486245
23.899531,0.000235,12.272413,2.371045,2.371045,74.804633
12.252164,0.000254,18.154830,2.397765,2.397765,58.131951
18.747626,0.000212,15.373240,2.452457,2.452457,74.519392
32.722085,0.000359,16.372943,2.917118,2.917118,85.393233
20.611987,0.000379,18.555272,3.770142,3.770142,81.292348
18.148875,0.000684,15.684410,3.741725,3.741725,74.520770
21.223928,0.000229,16.110375,6.074470,6.074470,84.930818
30.142690,0.000231,17.289617,4.336455,4.336455,85.720186
31.412001,0.000231,13.495624,4.897704,4.897704,90.341379
32.773217,0.000241,14.870029,4.911653,4.911653,85.144859
13.265313,0.000314,18.230630,5.123848,5.123848,72.545549
18.265669,0.000232,11.534704,5.412925,5.412925,66.333347
33.158203,0.000240,11.920881,5.430906,5.430906,82.466412
16.205989,0.000195,19.466784,5.629837,5.629837,74.606684
15.691018,0.000430,24.531516,6.052151,6.052151,85.015531
31.333021,0.000329,17.092108,6.258034,6.258034,94.335627
28.625961,0.000397,20.199798,6.678651,6.678651,93.307949
35.184642,0.000177,16.988661,6.559347,6.559347,102.302589
27.917496,0.000397,28.450163,6.863648,6.863648,110.981032
34.396159,0.000274,30.462323,6.921888,6.921888,116.488900
41.113013,0.000233,30.433296,7.883932,7.883932,126.750559
46.755024,0.000720,36.759741,8.328481,8.328481,140.489663
50.430205,0.000289,38.056303,8.907133,8.907133,148.941422
40.758183,0.000275,37.015129,9.480225,9.480225,143.877026
58.886779,0.000372,49.462859,10.980647,10.980647,186.360927
57.375068,0.000266,40.626693,10.598577,10.598577,167.685865
70.454132,0.000253,45.346257,11.380692,11.380692,182.468834
66.312947,0.000471,51.797645,11.974301,11.974301,195.708162
53.561003,0.000186,52.273945,13.171396,13.171396,186.924837
56.914140,0.000319,54.885776,13.912114,13.912114,196.498898
58.027489,0.000260,59.916053,15.134632,15.134632,222.778279
75.713079,0.000197,59.718042,15.769881,15.769881,219.642175
72.882237,0.000195,61.204345,16.597694,16.597694,231.640904
75.920919,0.000227,59.318956,17.145058,17.145058,236.690809
52.223270,0.000568,43.416093,18.011495,18.011495,199.733400
66.861331,0.000189,51.904707,18.173306,18.173306,227.637267
56.759551,0.000277,50.584389,18.714677,18.714677,215.309403
55.057805,0.000310,49.696978,19.049837,19.049837,216.240702
67.006821,0.000273,50.441745,19.731292,19.731292,219.789278
58.880635,0.000241,50.417984,20.382037,20.382037,214.024122
57.828463,0.000196,48.190903,22.110243,22.110243,220.776278
58.738629,0.000394,50.330382,21.043394,21.043394,217.988238
56.540143,0.000305,51.598495,21.865981,21.865981,219.865419
