#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,564.716785,0.000000,0.000000,1424.420751,1370.790880,0.399042,567.638040
0.000000,0.000000,495.948798,0.000000,0.000000,1445.869023,36.226020,0.319557,3533.269074
0.000000,0.000000,468.269887,0.000000,0.000000,102.079984,34.875435,0.291981,590.160856
0.000000,0.000000,460.249553,0.000000,0.000000,83.710266,34.907267,0.312749,560.321050
0.000000,0.000000,499.425990,0.000000,0.000000,78.885524,35.901180,0.309887,617.167211
0.000000,0.000000,473.266211,0.000000,0.000000,76.781622,34.398364,0.293099,3271.602023
0.000000,0.000000,469.757673,0.000000,0.000000,79.469849,47.321838,0.320547,1953.475637
0.000000,0.000000,471.635851,0.000000,0.000000,79.735478,33.491412,0.098867,610.403394
0.000000,0.000000,460.729112,0.000000,0.000000,78.535110,32.640581,0.297161,581.022677
0.000000,0.000000,468.075013,0.000000,0.000000,79.835710,32.207471,0.343987,584.488105
0.000000,0.000000,463.406321,0.000000,0.000000,80.360305,33.956509,0.415262,582.001542
0.000000,0.000000,465.897081,0.000000,0.000000,81.768536,34.064272,0.073626,595.022033
0.000000,0.000000,462.563257,0.000000,0.000000,78.440079,32.039633,0.321855,577.424993
0.000000,0.000000,459.396135,0.000000,0.000000,76.078594,38.993815,0.071401,574.005214
0.000000,0.000000,461.223066,0.000000,0.000000,73.768083,30.398747,0.513516,575.147031
0.000000,0.000000,476.270608,0.000000,0.000000,71.850624,28.664031,0.070866,592.691178
0.000000,0.000000,459.547432,0.000000,0.000000,74.300645,29.904364,0.290831,579.026300
0.000000,0.000000,460.834749,0.000000,0.000000,76.001350,30.538178,0.068164,573.010247
0.000000,0.000000,482.218696,0.000000,0.000000,78.527470,33.180118,0.280052,605.025503
0.000000,0.000000,458.161094,0.000000,0.000000,80.573675,42.801380,0.322197,564.224495
0.000000,0.000000,460.051738,0.000000,0.000000,83.374844,33.965555,0.060128,574.031301
0.000000,0.000000,460.152117,0.000000,0.000000,81.729965,38.050585,0.355048,566.110423
0.000000,0.000000,463.371192,0.000000,0.000000,82.494968,30.848937,0.191031,571.604278
0.000000,0.000000,460.647647,0.000000,0.000000,82.093946,30.517852,0.313279,573.991602
0.000000,0.000000,470.613686,0.000000,0.000000,80.173284,28.320122,0.053771,608.507486
0.000000,0.000000,462.286043,0.000000,0.000000,76.346709,27.225927,0.332950,583.116486
0.000000,0.000000,461.926698,0.000000,0.000000,72.310063,25.683178,0.266264,583.280009
0.000000,0.000000,460.318178,0.000000,0.000000,70.583851,30.115128,0.049024,581.002548
0.000000,0.000000,460.185041,0.000000,0.000000,72.855346,29.004188,0.411783,574.269515
0.000000,0.000000,471.100726,0.000000,0.000000,78.905209,32.705337,0.306607,581.173695
0.000000,0.000000,459.706003,0.000000,0.000000,78.480113,27.782905,0.289381,564.752530
0.000000,0.000000,479.464944,0.000000,0.000000,81.429448,32.259114,0.051341,578.852626
0.000000,0.000000,477.248171,0.000000,0.000000,82.856600,27.839821,0.351888,579.353177
0.000000,0.000000,471.398400,0.000000,0.000000,80.554123,30.113141,0.054051,575.026765
0.000000,0.000000,473.390935,0.000000,0.000000,76.802214,27.588990,0.296662,586.581778
0.000000,0.000000,487.943718,0.000000,0.000000,76.132641,28.546846,0.050181,596.255141
0.000000,0.000000,494.341559,0.000000,0.000000,74.794396,33.096649,0.340848,609.698297
0.000000,0.000000,461.676797,0.000000,0.000000,73.270253,27.682465,0.312133,573.898430
0.000000,0.000000,509.064584,0.000000,0.000000,74.056050,27.895642,0.206391,621.314878
0.000000,0.000000,469.125817,0.000000,0.000000,73.286152,28.218144,0.284335,574.998646
0.000000,0.000000,497.440059,0.000000,0.000000,76.536400,31.402738,0.050019,603.512623
0.000000,0.000000,460.529074,0.000000,0.000000,77.828400,38.796417,0.504668,570.655716
0.000000,0.000000,462.761970,0.000000,0.000000,78.504008,35.126950,0.286991,568.385375
0.000000,0.000000,466.294290,0.000000,0.000000,79.258186,34.117477,0.062002,570.258337
0.000000,0.000000,459.736911,0.000000,0.000000,78.994063,35.077402,0.286416,562.831920
0.000000,0.000000,495.027122,0.000000,0.000000,76.279678,31.885002,0.064099,604.363176
0.000000,0.000000,459.275562,0.000000,0.000000,74.877300,33.805423,0.297736,577.911083
0.000000,0.000000,460.881764,0.000000,0.000000,78.028677,32.630897,0.085848,576.281856
0.000000,0.000000,462.352651,0.000000,0.000000,78.530573,30.851794,0.299808,577.185036
0.000000,0.000000,460.290409,0.000000,0.000000,77.280463,30.094068,0.075065,575.938913
0.000000,0.000000,481.111182,0.000000,0.000000,77.633402,31.980688,0.335933,591.013169
0.000000,0.000000,459.728964,0.000000,0.000000,84.777718,35.972566,0.065464,570.013454
0.000000,0.000000,461.772478,0.000000,0.000000,91.886606,38.362214,0.316740,574.081487
0.000000,0.000000,468.573972,0.000000,0.000000,89.448923,35.596770,0.294966,579.629258
0.000000,0.000000,464.509650,0.000000,0.000000,81.198774,38.912388,0.376579,573.727717
0.000000,0.000000,471.994207,0.000000,0.000000,84.432835,44.646324,0.085296,583.587121
0.000000,0.000000,491.436655,0.000000,0.000000,83.934149,34.363818,0.555402,613.831661
0.000000,0.000000,463.121794,0.000000,0.000000,81.231343,49.095860,0.083188,595.026038
0.000000,0.000000,496.451380,0.000000,0.000000,84.743089,36.853426,0.338347,623.424971
0.000000,0.000000,463.495815,0.000000,0.000000,87.611234,35.189479,0.074413,585.620849
0.000000,0.000000,462.133919,0.000000,0.000000,87.426262,38.106630,0.288843,594.154775
0.000000,0.000000,474.304236,0.000000,0.000000,85.820955,49.575597,0.093523,595.295343
0.000000,0.000000,461.671368,0.000000,0.000000,88.757675,45.001293,0.318212,598.339613
0.000000,0.000000,459.731933,0.000000,0.000000,92.289901,42.282413,0.077490,583.133854
0.000000,0.000000,509.214784,0.000000,0.000000,89.230949,39.438967,0.329579,633.581202
0.000000,0.000000,459.833487,0.000000,0.000000,87.779815,40.691658,0.075633,587.087993
0.000000,0.000000,493.706515,0.000000,0.000000,88.226675,48.823470,0.377465,635.584386
0.000000,0.000000,465.913736,0.000000,0.000000,86.106010,37.860169,0.306165,601.494681
0.000000,0.000000,481.909834,0.000000,0.000000,78.252316,43.474304,0.317826,618.170021
0.000000,0.000000,462.130736,0.000000,0.000000,70.089654,42.314169,0.294313,593.276228
0.000000,0.000000,462.351772,0.000000,0.000000,67.243962,43.067283,0.267566,592.906235
0.000000,0.000000,458.915282,0.000000,0.000000,68.667029,41.900870,0.354192,598.091220
0.000000,0.000000,460.685374,0.000000,0.000000,67.724043,40.314211,0.283322,586.581514
0.000000,0.000000,461.969032,0.000000,0.000000,66.688742,39.254735,0.328063,585.761033
0.000000,0.000000,483.979483,0.000000,0.000000,65.115406,35.841414,0.299925,601.114175
0.000000,0.000000,463.301316,0.000000,0.000000,61.438411,32.267137,0.059066,575.691313
0.000000,0.000000,484.160577,0.000000,0.000000,71.163036,43.492869,0.933729,596.857735
0.000000,0.000000,487.199265,0.000000,0.000000,83.054407,47.187761,0.060905,597.044861
0.000000,0.000000,465.141725,0.000000,0.000000,84.996943,35.254597,0.360158,573.254437
0.000000,0.000000,530.094590,0.000000,0.000000,82.097388,35.827508,0.062791,633.582081
0.000000,0.000000,460.212667,0.000000,0.000000,78.477152,35.186496,0.308669,555.608648
0.000000,0.000000,459.316813,0.000000,0.000000,76.642260,35.217099,0.362751,576.480691
0.000000,0.000000,466.065225,0.000000,0.000000,76.369554,36.969591,0.303132,598.140411
0.000000,0.000000,460.315614,0.000000,0.000000,78.682610,35.275825,0.139686,582.783449
0.000000,0.000000,490.793952,0.000000,0.000000,77.221653,50.999361,0.404042,616.188599
0.000000,0.000000,485.633389,0.000000,0.000000,77.516463,47.360177,0.399942,603.243817
0.000000,0.000000,479.902620,0.000000,0.000000,81.647202,43.943170,0.351210,593.986377
0.000000,0.000000,476.360245,0.000000,0.000000,80.353009,42.254897,0.389043,591.685592
0.000000,0.000000,489.299525,0.000000,0.000000,76.739227,45.613543,0.080167,605.194959
0.000000,0.000000,459.039470,0.000000,0.000000,82.332718,54.996714,0.397530,590.940580
0.000000,0.000000,483.795691,0.000000,0.000000,94.241102,47.630267,0.406574,610.827858
0.000000,0.000000,461.416629,0.000000,0.000000,95.164988,45.567151,0.069355,589.451553
0.000000,0.000000,462.639743,0.000000,0.000000,92.240808,42.486348,0.371542,587.549535
0.000000,0.000000,493.631929,0.000000,0.000000,88.905147,39.046719,0.070207,618.971615
0.000000,0.000000,461.417202,0.000000,0.000000,88.324040,37.684356,0.328945,601.013501
0.000000,0.000000,460.510018,0.000000,0.000000,86.924896,36.591583,0.065136,604.643436
0.000000,0.000000,461.604101,0.000000,0.000000,81.944762,34.080586,0.373942,604.182065
0.000000,0.000000,467.003663,0.000000,0.000000,83.114177,35.594967,0.098449,604.029300
0.000000,0.000000,474.565617,0.000000,0.000000,81.115420,35.314175,0.334257,604.331511
0.000000,0.000000,461.587041,0.000000,0.000000,83.113680,34.850465,0.075028,593.098806
0.000000,0.000000,469.297481,0.000000,0.000000,84.079145,36.425865,0.314840,594.794121
0.000000,0.000000,460.231789,0.000000,0.000000,81.926778,35.628838,0.077360,578.593883
0.000000,0.000000,488.330603,0.000000,0.000000,79.443829,35.914682,0.307587,609.088680
0.000000,0.000000,467.875661,0.000000,0.000000,78.331418,32.781912,0.064597,586.528967
0.000000,0.000000,484.629518,0.000000,0.000000,75.908410,38.863958,0.277043,604.757592
0.000000,0.000000,461.819492,0.000000,0.000000,74.733966,32.308516,0.069766,584.559204
0.000000,0.000000,488.570280,0.000000,0.000000,73.852910,36.732658,0.327177,607.892474
0.000000,0.000000,463.402075,0.000000,0.000000,76.794993,45.916169,0.062079,580.805854
0.000000,0.000000,483.703905,0.000000,0.000000,74.760001,36.540576,0.326642,603.691852
0.000000,0.000000,458.392135,0.000000,0.000000,72.927134,34.864684,0.063310,575.268458
0.000000,0.000000,461.585983,0.000000,0.000000,69.337984,32.266128,0.299227,570.825567
0.000000,0.000000,460.059313,0.000000,0.000000,67.439021,33.981075,0.294268,572.779762
0.000000,0.000000,480.166190,0.000000,0.000000,69.651001,31.209985,0.325358,606.545946
